counter,Topic,Word,P
0,0,coronaviru,0.024501342326402664
1,0,vaccin,0.02342204377055168
2,0,colombia,0.011895189061760902
3,0,presid,0.011499264277517796
4,0,burn,0.011455788277089596
5,0,first,0.009721926413476467
6,0,russian,0.008854079060256481
7,0,vladimir,0.008486295118927956
8,0,polic,0.007737433072179556
9,0,death,0.007320503704249859
10,0,gener,0.007234498858451843
11,0,countri,0.0071642291732132435
12,0,medic,0.006900513079017401
13,0,need,0.006553120911121368
14,0,releas,0.006177361123263836
15,0,clap,0.006022418849170208
16,0,amp,0.005946174263954163
17,0,alert,0.005699684843420982
18,0,putin',0.005664991680532694
19,0,daughter,0.005664991680532694
20,1,inform,0.022202428430318832
21,1,coronaviru,0.017681580036878586
22,1,water,0.009232577867805958
23,1,stop,0.00921727530658245
24,1,health,0.009172182530164719
25,1,respons,0.008761237375438213
26,1,infect,0.008617897517979145
27,1,protect,0.00807905662804842
28,1,viru,0.007876110263168812
29,1,case,0.007873982191085815
30,1,cucuta,0.007427312433719635
31,1,take,0.006923849228769541
32,1,drink,0.006913479883223772
33,1,good,0.006356906611472368
34,1,sourc,0.00623307004570961
35,1,fact,0.006011707708239555
36,1,pleas,0.005966935772448778
37,1,polic,0.005964281503111124
38,1,spread,0.005940422881394625
39,1,news,0.0059292674995958805
40,2,social,0.011860627681016922
41,2,peopl,0.01149934995919466
42,2,fake,0.011107092723250389
43,2,corona,0.010477771051228046
44,2,coronaviru,0.010448175482451916
45,2,call,0.009669221006333828
46,2,circul,0.009243872947990894
47,2,delhi,0.00892107654362917
48,2,covid19,0.008500251919031143
49,2,media,0.008456784300506115
50,2,mosqu,0.008370934054255486
51,2,today,0.007380220573395491
52,2,test,0.006919017992913723
53,2,get,0.0062174126505851746
54,2,crisi,0.005711209028959274
55,2,prayer,0.005682987626641989
56,2,covid,0.005622177384793758
57,2,hand,0.005475645884871483
58,2,maryland,0.005410396493971348
59,2,case,0.005338120739907026
60,3,hospit,0.01614328660070896
61,3,muslim,0.01607024297118187
62,3,whatsapp,0.01355537585914135
63,3,today,0.013231332413852215
64,3,separ,0.012596974149346352
65,3,video,0.012477370910346508
66,3,home,0.01146098505705595
67,3,messag,0.009757020510733128
68,3,shirt,0.009517626836895943
69,3,immigr,0.009419109672307968
70,3,yellow,0.009345761500298977
71,3,stay,0.007861122488975525
72,3,protest,0.00761830061674118
73,3,observ,0.007082799915224314
74,3,job,0.006744251120835543
75,3,ward,0.006654440425336361
76,3,suppos,0.006333059631288052
77,3,fals,0.005687493830919266
78,3,network,0.005530510563403368
79,3,year,0.005505724810063839
80,4,video,0.026009809225797653
81,4,covid19,0.013497309759259224
82,4,public,0.010638576932251453
83,4,need,0.009652038104832172
84,4,famili,0.00949002243578434
85,4,crisi,0.00935809314250946
86,4,team,0.00891434121876955
87,4,boy,0.008475548587739468
88,4,march,0.008459086529910564
89,4,event201,0.008448692038655281
90,4,jio,0.008327016606926918
91,4,amp,0.00826183333992958
92,4,say,0.008032630197703838
93,4,record,0.007528531830757856
94,4,theãƒâ,0.007454210426658392
95,4,caus,0.007402745541185141
96,4,see,0.007207611575722694
97,4,man,0.007141700945794582
98,4,covid,0.00708414614200592
99,4,conspiraci,0.007023947313427925
100,5,hell,0.2663811445236206
101,5,mr,0.022252647206187248
102,5,us,0.019162286072969437
103,5,request,0.015546990558505058
104,5,oxygen,0.014634418301284313
105,5,gehlot,0.014552741311490536
106,5,cracker,0.014550803229212761
107,5,http,0.013828503899276257
108,5,co,0.013375943526625633
109,5,ecuador,0.013072513975203037
110,5,minist,0.012539125978946686
111,5,rate,0.01157637219876051
112,5,creat,0.011293767020106316
113,5,ashok,0.01103647518903017
114,5,iceland,0.00891830027103424
115,5,releas,0.008443803526461124
116,5,chouhanshivraj,0.007696350105106831
117,5,offic,0.007672922220081091
118,5,anandrai177,0.007615273352712393
119,5,vandana,0.0074797123670578
