facebook, twitter
2825337827553330,
,_1259327775711903744
2955794551183018,
3077834322297851,
730436084002052,
,_1260614975095279621
,_1241343233365434368
,_1241025092441628672
100007723179871,
2698930667056589,
10159641900051679,
2698930667056589,
239768040676796,
,_1245190455047811076
599996460873795,
,_1257214300822929409
2100094023469641,
239768040676796,
3304759429547933,
3173495636034942,
10159791698564968,
2627159667571788,
,_1254684072250613761
10207703946674021,
100003518756896,
1858213777729917,
3421863261160492,
,_1253760972436705282
,_1246320711792242688
1122375514792290,
,_1246000404678053889
740368816683850,
100012187786839,
,_1254253304026206209
,_1252013719049158656
,_1252349566046728196
10222992302302961,
1299500320256201,
,_1254435626079813632
3130164763700538,
,_1242149313507098624
2580524808865083,
,_1252634824935976960
568872770423467,
244181589968299,
10158450897728057,
234907517601175,
1335399446849701,
10222709391428475,
,_1234601810305769479
3553903381291875,
524614311756378,
222153172537559,
1999657370253342,
523006521708371,
100026325705904,
3431229243558000,
,_1252168298109730816
10157725913172839,
102781534744590,
10222206013168084,
222307542318975,
,_1251842756579917825
263787924655831,
2544522515654318,
,_1248829949571522561
249285906207683,
2872497886111266,
983741958711281,
122744802701648,
844841589354769,
,_1247147830608789504
10213953501545223,
,_1245709181899788289
,_1245752911650607105
,_1330088963537821709
,_1330517386383020037
,_1330197611589087242
10218502498177204,
10215240357362119,
10158016806379174,
478527252258627,
1607102259464065,
2738095783181922,
3973677605990838,
,_1242909049936654343
583541605840406,
2974196639305154,
670078170460685,
574004216542758,
,_1244224185204867074
,_1244472418002853893
674780783061363,
517970499105685,
3140002072699895,
3283772691666832,
100007205823950,
10216781475590128,
,_1241606270878191617
10213279357897942,
,_1240642640988778497
,_1239462557250969600
1525079387656323,
2087323078080745,
3140752069289240,
3015773298481119,
1079078039104892,
113290046765209,
2811587288917304,
,_1241729735299928066
,_1240705156708270080
235974067539966,
2694305097522601,
10221313672852800,
2480177468901123,
1036365920052374,
2811394542280629,
245385483500012,
115235046595981,
,_1239043144446029824
10158261653059744,
,_1226349040654139392
,_1234189752699621377
,_1232724737530482691
2793043027409347,
2635408533194388,
,_1232601179798081536
1064619440603503:0#,
,_1232379296813060097
2561890560588817,
105306534362761,
1516468725143401,
,_1224910079947919361
465468534340337,
2582662928648585,
10157015243451009,
2747197258735023,
2765732110141877,
,_1219795721286586368
2765732110141877,
782510752270450,
10158513691964384,
541329666496859,
,_1224023320879882246
,_1220709076285325313
100002482286451,
,_1224008311957147648
10213669696650570,
,_1221065421874397185
3680985311919103,
,_1219480702296739841
,_1219857391774326784
,_1219795721286586368
