,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,all_reactions,all_reactions,all_reactions,all_reactions,all_reactions,all_reactions,all_reactions,all_reactions,comments,comments,comments,comments,comments,comments,comments,comments,shares,shares,shares,shares,shares,shares,shares,shares,interaction_sum,interaction_sum,interaction_sum,interaction_sum,interaction_sum,interaction_sum,interaction_sum,interaction_sum,polarity,polarity,polarity,polarity,polarity,polarity,polarity,polarity,subjectivity,subjectivity,subjectivity,subjectivity,subjectivity,subjectivity,subjectivity,subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,335.0,231.31641791044777,162.54039073984276,0.0,90.5,199.0,352.0,559.0,335.0,2426.2358208955225,11700.708215984161,0.0,19.0,109.0,571.5,169000.0,335.0,2027.3880597014925,8707.41709668633,0.0,0.0,17.0,102.5,68000.0,335.0,3064.3402985074626,12051.527405023393,0.0,32.5,206.0,1081.5,145803.0,335.0,7517.964179104478,25265.787605298956,0.0,117.0,420.0,2167.5,227997.0,335.0,0.04268153301296512,0.1670927272503059,-0.5029761904761905,-0.022310606060606,0.0432900432900432,0.1225694444444444,0.5249999999999999,335.0,0.4391252074548411,0.19217798167136876,0.0,0.3604104807229807,0.4523809523809524,0.543939393939394,1.0
1,63.0,316.9047619047619,135.07533313717875,2.0,243.5,326.0,405.5,557.0,63.0,1427.015873015873,3100.6733373422735,0.0,7.0,138.0,1150.0,16000.0,63.0,2772.7936507936506,7566.444013215211,0.0,0.0,9.0,292.5,32000.0,63.0,1069.5079365079366,2463.162626570969,0.0,24.5,221.0,939.5,13346.0,63.0,5269.31746031746,12166.521330466248,0.0,91.5,723.0,2840.0,53346.0,63.0,0.025897148873112855,0.1374901983249341,-0.3292929292929293,-0.01978260869565215,0.0333333333333333,0.0888318452380952,0.4722727272727273,63.0,0.44607858023661345,0.220775831737269,0.0,0.369695423623995,0.4707163207163208,0.5684178743961352,1.0
2,56.0,379.4642857142857,144.0578121684251,47.0,248.0,426.5,486.25,560.0,56.0,6008.232142857143,30215.929952737944,0.0,4.25,66.5,406.75,221000.0,56.0,2710.660714285714,11265.780299451942,0.0,0.0,15.5,72.25,78000.0,56.0,4738.125,17881.188444398515,0.0,15.25,83.5,594.5,110865.0,56.0,13457.017857142857,47062.701042715766,0.0,88.0,318.0,1496.0,306508.0,56.0,0.06026868764385075,0.21075348954233972,-0.7142857142857143,-0.012321797520661076,0.048090277777777746,0.22163461538461537,0.4499999999999999,56.0,0.4050858855661355,0.26129788003864296,0.0,0.2768229166666666,0.3936571887708251,0.5243421052631579,1.0
3,82.0,361.6585365853659,121.55923410158047,6.0,267.5,393.5,451.5,554.0,82.0,4369.048780487805,14108.541519237919,0.0,0.0,45.0,224.5,70000.0,82.0,2768.731707317073,14033.381632756493,0.0,0.0,6.5,40.5,75000.0,82.0,11564.69512195122,80651.89260569905,0.0,19.25,95.0,524.75,725514.0,82.0,18702.475609756097,88564.32176257452,1.0,62.25,263.5,1048.5,760514.0,82.0,0.08669816577734013,0.2162719633583797,-0.5095238095238095,-0.0162929168532616,0.07516233766233765,0.22592446379378192,0.8,82.0,0.4918966400304924,0.19541240059670895,0.0,0.3841666666666666,0.5234938672438672,0.6023502886002885,1.0
4,25.0,348.72,115.63683092625233,41.0,298.0,371.0,425.0,555.0,25.0,100.28,162.79243430413672,0.0,0.0,40.0,91.0,586.0,25.0,40.08,63.54323987123519,0.0,2.0,18.0,42.0,302.0,25.0,303.0,334.0673584772987,1.0,25.0,248.0,383.0,1302.0,25.0,443.36,448.3049445782784,5.0,123.0,369.0,497.0,1838.0,25.0,0.039010848111583396,0.1943032893965802,-0.3625,-0.0333333333333333,0.0232142857142857,0.13125,0.425,25.0,0.5121744993296464,0.25559127725699615,0.0,0.3385416666666667,0.5407407407407407,0.65,1.0
