Topic,Word
0,vaccin
0,mask
0,test
0,vitamin
1,trump
1,govern
1,china
1,economy
1,politic
1,presid
2,china
2,wuhan
2,coronavirus
3,lock
3,source
3,home
3,outbreak
4,death
4,died
