counter,topic,all_reactions,comments,shares,interaction_sum
172,1,0.0,0.0,0.0,0
173,0,0.0,13.0,396.0,409
174,0,7300.0,778.0,8468.0,16546
175,0,237.0,5.0,407.0,649
176,0,1800.0,11000.0,115.0,12915
177,0,1800.0,727.0,467.0,2994
178,0,298.0,6.0,4470.0,4774
179,0,26.0,0.0,88.0,114
180,0,1800.0,727.0,467.0,2994
181,0,3500.0,110.0,210.0,3820
182,0,1500.0,0.0,765.0,2265
183,0,94.0,31.0,23.0,148
184,0,2.0,0.0,3.0,5
185,0,2.0,0.0,2.0,4
186,0,103.0,46.0,78.0,227
187,1,0.0,0.0,0.0,0
188,0,335.0,36.0,663.0,1034
189,0,1900.0,0.0,322.0,2222
190,1,16.0,0.0,5.0,21
191,1,0.0,0.0,0.0,0
192,0,103.0,46.0,78.0,227
193,1,0.0,0.0,0.0,0
194,0,1300.0,189.0,23.0,1512
195,1,0.0,0.0,0.0,0
196,0,105.0,9.0,27.0,141
197,0,80.0,44.0,245.0,369
198,0,169.0,0.0,88.0,257
199,0,87.0,237.0,128.0,452
200,1,0.0,0.0,0.0,0
201,0,29.0,1.0,28.0,58
202,0,166.0,2.0,295.0,463
203,0,5600.0,22000.0,12541.0,40141
204,1,0.0,0.0,0.0,0
205,1,0.0,0.0,0.0,0
206,0,1200.0,265.0,453.0,1918
207,1,0.0,0.0,0.0,0
208,0,157.0,0.0,942.0,1099
209,0,76.0,0.0,44.0,120
210,0,429.0,252.0,429.0,1110
211,0,1000.0,0.0,2172.0,3172
212,1,0.0,0.0,0.0,0
213,1,0.0,0.0,0.0,0
214,1,0.0,0.0,0.0,0
215,1,0.0,0.0,0.0,0
216,0,6.0,0.0,5.0,11
217,0,302.0,19.0,158.0,479
218,0,0.0,49.0,18677.0,18726
219,0,4400.0,3000.0,877.0,8277
220,0,8.0,0.0,5.0,13
221,0,227.0,26.0,341.0,594
222,0,3.0,0.0,1.0,4
223,0,0.0,49.0,18677.0,18726
224,0,65.0,40.0,54.0,159
225,0,34.0,0.0,21.0,55
226,0,207.0,0.0,141.0,348
227,0,65.0,40.0,54.0,159
228,0,34.0,0.0,21.0,55
229,1,0.0,0.0,0.0,0
230,1,0.0,0.0,0.0,0
231,0,0.0,0.0,0.0,0
232,1,0.0,0.0,0.0,0
233,0,9700.0,0.0,1158.0,10858
234,2,108.0,54.0,23.0,185
235,1,0.0,0.0,0.0,0
236,0,41.0,3.0,19.0,63
237,0,40000.0,21000.0,14000.0,75000
238,0,4.0,0.0,3.0,7
239,1,0.0,0.0,0.0,0
240,0,9.0,12.0,3.0,24
241,0,6800.0,0.0,9617.0,16417
242,0,58.0,9.0,24.0,91
243,0,163.0,32.0,93.0,288
244,0,94.0,28.0,53.0,175
245,0,411.0,0.0,1746.0,2157
246,0,1300.0,0.0,13907.0,15207
247,0,0.0,143.0,283.0,426
248,0,104.0,17.0,80.0,201
249,0,186.0,14.0,147.0,347
250,1,0.0,0.0,0.0,0
251,2,0.0,2.0,113.0,115
252,0,169000.0,19000.0,39997.0,227997
253,1,0.0,57000.0,46559.0,103559
254,0,177.0,30.0,221.0,428
255,0,171.0,22.0,193.0,386
256,0,284.0,66.0,136.0,486
257,1,0.0,0.0,0.0,0
258,0,40000.0,21000.0,14000.0,75000
259,0,131.0,45.0,28.0,204
260,0,155.0,44.0,293.0,492
261,0,2100.0,19.0,4106.0,6225
262,0,1600.0,448.0,3095.0,5143
263,0,0.0,2.0,238.0,240
264,0,289.0,147.0,181.0,617
265,0,99.0,19.0,47.0,165
266,0,65.0,1.0,26.0,92
267,0,0.0,28.0,237.0,265
268,0,2000.0,0.0,5433.0,7433
269,2,853.0,202.0,866.0,1921
270,2,429.0,33.0,373.0,835
271,0,2700.0,1000.0,323.0,4023
272,0,0.0,3.0,8734.0,8737
273,0,986.0,187.0,8184.0,9357
274,0,1200.0,51.0,270.0,1521
275,0,158.0,16.0,174.0,348
276,0,1300.0,69.0,39.0,1408
277,0,1400.0,138.0,24.0,1562
278,1,32000.0,44000.0,1475.0,77475
279,0,44000.0,12000.0,2270.0,58270
280,0,10000.0,0.0,430.0,10430
281,0,58000.0,75000.0,1479.0,134479
282,0,780.0,218.0,911.0,1909
283,1,7600.0,663.0,10800.0,19063
284,1,0.0,0.0,0.0,0
285,0,158.0,5.0,88.0,251
286,0,0.0,6.0,218.0,224
287,0,56.0,10.0,200.0,266
288,0,33.0,2.0,26.0,61
289,0,116.0,7.0,359.0,482
290,0,63.0,31.0,73.0,167
291,1,0.0,0.0,0.0,0
292,0,32.0,17.0,466.0,515
293,0,58000.0,75000.0,1479.0,134479
294,0,369.0,0.0,1016.0,1385
295,0,11000.0,12000.0,986.0,23986
296,0,158.0,5.0,88.0,251
297,0,189.0,53.0,111.0,353
298,0,38.0,3.0,18.0,59
299,0,32.0,20.0,132.0,184
300,0,1900.0,663.0,1264.0,3827
301,1,46.0,11.0,206.0,263
302,0,288.0,8.0,6946.0,7242
303,2,1600.0,416.0,3193.0,5209
304,0,263.0,0.0,276.0,539
305,0,896.0,115.0,1185.0,2196
306,0,1500.0,156.0,2590.0,4246
307,0,62.0,0.0,33.0,95
308,0,494.0,10.0,9.0,513
309,0,477.0,75.0,504.0,1056
310,0,14000.0,22000.0,7092.0,43092
311,0,2.0,0.0,0.0,2
312,1,0.0,0.0,0.0,0
313,0,896.0,115.0,1185.0,2196
314,0,3800.0,611.0,440.0,4851
315,0,233.0,23.0,172.0,428
316,2,0.0,69.0,439.0,508
317,0,472.0,3.0,796.0,1271
318,0,5200.0,0.0,17216.0,22416
319,0,0.0,20.0,206.0,226
320,0,35.0,1.0,125.0,161
321,0,67.0,0.0,199.0,266
322,1,0.0,0.0,0.0,0
323,0,0.0,0.0,0.0,0
324,0,187.0,38.0,720.0,945
325,1,0.0,0.0,0.0,0
326,0,1.0,0.0,0.0,1
327,0,12.0,0.0,0.0,12
328,0,109.0,2.0,34.0,145
329,0,4500.0,25000.0,909.0,30409
330,0,392.0,0.0,14.0,406
331,1,0.0,0.0,0.0,0
332,1,2100.0,624.0,752.0,3476
333,1,5900.0,1000.0,1229.0,8129
334,1,7600.0,663.0,10800.0,19063
335,0,2.0,0.0,5.0,7
336,0,164000.0,29000.0,89632.0,282632
337,0,70000.0,73000.0,33426.0,176426
338,0,7900.0,608.0,5241.0,13749
339,1,0.0,0.0,0.0,0
340,1,0.0,16.0,13282.0,13298
341,0,307.0,558.0,5045.0,5910
342,0,10000.0,32000.0,8796.0,50796
343,0,6600.0,6.0,5154.0,11760
344,0,0.0,63.0,119.0,182
