,topic,all_reactions,comments,shares,interaction_sum
169,0,158.0,16.0,174.0,348
170,0,1300.0,69.0,39.0,1408
171,0,1400.0,138.0,24.0,1562
172,0,44000.0,12000.0,2270.0,58270
173,0,10000.0,0.0,430.0,10430
174,3,58000.0,75000.0,1479.0,134479
175,3,158.0,5.0,88.0,251
176,0,56.0,10.0,200.0,266
177,4,33.0,2.0,26.0,61
178,0,116.0,7.0,359.0,482
179,0,32.0,17.0,466.0,515
180,3,58000.0,75000.0,1479.0,134479
181,0,369.0,0.0,1016.0,1385
182,0,11000.0,12000.0,986.0,23986
183,3,158.0,5.0,88.0,251
184,0,189.0,53.0,111.0,353
185,0,46.0,11.0,206.0,263
186,0,288.0,8.0,6946.0,7242
187,0,263.0,0.0,276.0,539
188,0,896.0,115.0,1185.0,2196
189,0,1500.0,156.0,2590.0,4246
190,0,62.0,0.0,33.0,95
191,0,494.0,10.0,9.0,513
192,0,477.0,75.0,504.0,1056
193,1,14000.0,22000.0,7092.0,43092
194,0,896.0,115.0,1185.0,2196
195,0,3800.0,611.0,440.0,4851
196,0,233.0,23.0,172.0,428
197,0,0.0,69.0,439.0,508
198,0,472.0,3.0,796.0,1271
199,0,5200.0,0.0,17216.0,22416
200,0,35.0,1.0,125.0,161
201,0,0.0,0.0,0.0,0
202,0,187.0,38.0,720.0,945
203,0,1.0,0.0,0.0,1
204,0,12.0,0.0,0.0,12
205,0,109.0,2.0,34.0,145
206,0,4500.0,25000.0,909.0,30409
207,0,392.0,0.0,14.0,406
208,3,70000.0,73000.0,33426.0,176426
209,0,307.0,558.0,5045.0,5910
210,1,10000.0,32000.0,8796.0,50796
211,0,6600.0,6.0,5154.0,11760
212,1,617.0,354.0,1100.0,2071
213,3,0.0,267.0,954.0,1221
214,0,0.0,29.0,318.0,347
215,3,107.0,14.0,80.0,201
216,0,88.0,2.0,5.0,95
217,3,50.0,5.0,39.0,94
218,0,0.0,63.0,100.0,163
219,0,0.0,37.0,536.0,573
220,0,61.0,0.0,184.0,245
221,3,0.0,330.0,1611.0,1941
222,0,1.0,0.0,0.0,1
223,0,12.0,0.0,0.0,12
224,0,109.0,2.0,34.0,145
225,1,41.0,0.0,24.0,65
226,0,147.0,72.0,286.0,505
227,1,6600.0,12000.0,1700.0,20300
228,0,0.0,107.0,2075.0,2182
229,0,0.0,17.0,168.0,185
230,4,496.0,302.0,1040.0,1838
231,0,279.0,0.0,75.0,354
232,1,140.0,0.0,25.0,165
233,0,922.0,0.0,306.0,1228
234,3,1700.0,6.0,97076.0,98782
235,0,44.0,2.0,89.0,135
236,0,15.0,1.0,208.0,224
237,3,2.0,0.0,0.0,2
238,0,30.0,0.0,15.0,45
239,0,72.0,0.0,41.0,113
240,3,63.0,11.0,282.0,356
241,3,107.0,14.0,80.0,201
242,0,19.0,0.0,39.0,58
243,0,2400.0,257.0,2928.0,5585
244,3,985.0,0.0,109.0,1094
245,0,112.0,0.0,5.0,117
246,0,112.0,0.0,5.0,117
247,0,112.0,0.0,5.0,117
248,3,107000.0,91000.0,64012.0,262012
249,3,19.0,4.0,1.0,24
250,1,685.0,81.0,69.0,835
251,4,8.0,11.0,4.0,23
252,4,0.0,13.0,8.0,21
253,0,6.0,0.0,1.0,7
254,3,29.0,0.0,3.0,32
255,3,290.0,0.0,20.0,310
256,3,1000.0,0.0,118.0,1118
257,1,77.0,13.0,4.0,94
258,0,259.0,84.0,37.0,380
259,0,0.0,36.0,131.0,167
260,0,582.0,0.0,374.0,956
261,0,2500.0,3.0,19493.0,21996
262,0,78.0,0.0,24.0,102
263,0,0.0,260.0,1597.0,1857
264,0,2200.0,60.0,2860.0,5120
265,0,338.0,238.0,913.0,1489
266,0,115.0,10.0,154.0,279
267,0,945.0,0.0,2547.0,3492
268,3,2100.0,636.0,1409.0,4145
269,3,0.0,36.0,285.0,321
270,4,79.0,0.0,18.0,97
271,0,16.0,0.0,1.0,17
272,0,0.0,1.0,3576.0,3577
273,1,7.0,0.0,0.0,7
274,0,1100.0,19000.0,52038.0,72138
275,0,4.0,0.0,1.0,5
276,0,219.0,159.0,928.0,1306
277,0,664.0,49.0,1481.0,2194
278,0,2.0,0.0,2.0,4
279,0,412.0,129.0,384.0,925
280,0,2500.0,3.0,19491.0,21994
281,4,0.0,6.0,491.0,497
282,4,4.0,0.0,1.0,5
283,0,10.0,0.0,11.0,21
284,1,12.0,0.0,25.0,37
285,0,0.0,243.0,1641.0,1884
286,0,3900.0,0.0,1357.0,5257
287,0,0.0,18.0,197.0,215
288,0,0.0,125.0,648.0,773
289,0,4500.0,90.0,3445.0,8035
290,1,22.0,3.0,24.0,49
291,3,0.0,31000.0,111414.0,142414
292,3,0.0,7.0,19.0,26
293,3,384.0,691.0,264.0,1339
294,3,1600.0,739.0,2429.0,4768
