has_words,id,link
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-filho-do-ex-presidente-lula-comprou-20-das-acoes-da-sinovac/
"facebook,twitter",0,https://www.aosfatos.org/noticias/outdoor-em-campo-grande-com-imagem-de-doria-nao-foi-pago-pelo-governo-paulista/
,0,https://www.newtral.es/bulo-coronavirus-israel-limon-bicarbonato/20210202/
"facebook,twitter",0,https://www.aosfatos.org/noticias/morte-de-socorrista-no-rio-de-janeiro-nao-tem-relacao-com-vacina-contra-covid-19/
"facebook,twitter",0,https://teyit.org/analiz-kalabaligi-gosteren-fotografin-istanbul-metrosunda-cekildigi-iddiasi
social media,0,https://healthfeedback.org/claimreview/covid-19-vaccines-currently-in-use-stimulate-immunity-to-the-same-degree-as-natural-infection-without-exposing-the-vaccinated-person-to-the-risks-associated-with-the-disease/
"facebook,tweet",0,https://www.politifact.com/factchecks/2021/feb/01/ryan-fournier/biden-administration-didnt-lose-20-million-covid-1/
,0,https://factcheck.afp.com/social-media-posts-misrepresent-pfizer-biontech-covid-19-vaccinations-germany
,0,https://www.newtral.es/bulo-vacuna-arn-mensajero-martin-mikovits/20210203/
"facebook,tweet,social media",0,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/cornell-virologist-did-not-say-covid-19-was-hoax/
"social media,hashtag",0,https://factcheck.afp.com/hall-famer-hank-aarons-death-unrelated-covid-19-vaccination
"facebook,twitter",0,https://teyit.org/analiz-ari-zehrinin-koronaviruse-iyi-geldigi-iddiasi
facebook,0,http://www.mythdetector.ge/en/myth/presenter-tv-program-imedis-faktori-manipulatively-ascribes-vaccine-skepticism-political
"facebook,tweet",0,https://www.politifact.com/factchecks/2020/dec/18/facebook-posts/no-new-coronavirus-vaccines-are-not-more-dangerous/
social media,0,https://www.factcheck.org/2021/02/scicheck-headlines-distort-the-facts-on-cdc-mask-order/
,0,https://www.newtral.es/bulo-vacunas-ribosomas-funcion-arn-modifican-adn/20210204/
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-equipo-negocio-las-vacunas-pfizer-si-sabia-ingles-79934
,0,https://factcheck.afp.com/video-shows-indonesian-students-falling-ill-after-being-vaccinated-diphtheria-2018
social media,0,https://healthfeedback.org/claimreview/vaccines-are-useful-even-when-there-is-a-treatment-for-a-disease-contrary-to-claim-by-lee-merritt-in-the-new-american-video/
social media,0,https://factly.in/old-video-of-a-chinese-man-portrayed-as-a-scared-thailand-health-minister-while-taking-covid-19-vaccine/
"facebook,tweet",0,https://www.politifact.com/factchecks/2021/feb/08/worldnetdaily/no-dr-anthony-fauci-did-not-fund-research-tied-cov/
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-no-este-video-putin-no-dice-esta-al-tanto-los-planes-diabolicos-covid-79925
,0,https://factcheck.afp.com/theres-no-scientific-proof-tonic-onions-ginger-garlic-and-lemon-can-cure-covid-19
"facebook,twitter",0,https://teyit.org/analiz-pfizer-biontech-asisinin-beklenenden-daha-az-etkili-oldugu-iddiasi
"facebook,twitter",0,https://teyit.org/analiz-dsonun-biden-goreve-geldikten-hemen-sonra-pcr-testlerinin-yanlis-pozitif-sonuc-verdigini-acikladigi-iddiasi
social media,0,https://healthfeedback.org/claimreview/the-american-journal-of-medicine-didnt-recommend-hydroxychloroquine-as-a-treatment-for-covid-19-scientific-evidence-doesnt-show-hydroxychloroquine-is-effective-against-covid-19/
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-este-video-patarroyo-agosto-del-2020-79962
"facebook,twitter",0,https://chequeado.com/verificacionfb/israel-no-hay-evidencia-de-que-la-vacuna-de-pfizer-haya-generado-una-paralisis-facial-en-13-casos/
social media,0,https://factcheck.afp.com/sri-lankan-social-media-users-share-misleading-posts-about-cremations-covid-19-fatalities-us
social media,0,https://factcheck.afp.com/video-misleads-uk-pm-boris-johnsons-comments-about-efficacy-covid-19-testing
,0,https://www.animalpolitico.com/elsabueso/poner-cebollas-casa-no-te-protege-de-un-virus/
"facebook,social media",0,https://factcheck.afp.com/fraudulent-facebook-posts-claim-world-bank-giving-loans-small-businesses-africa
"facebook,tweet",0,https://www.politifact.com/factchecks/2021/jan/29/instagram-posts/no-masks-dont-have-negative-effects-68-children/
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-luciano-hang-doou-200-cilindros-de-oxigenio-para-o-amazonas/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/25/verificamos-amapa-taxa-letalidade-covid-19/
"facebook,twitter",0,https://infact.press/2021/01/post-10216/
"facebook,tweet,social media",0,https://www.politifact.com/factchecks/2021/feb/01/blog-posting/who-did-not-say-you-dont-need-wear-mask/
facebook,0,https://rebaltica.lv/2021/02/ledjajevam-nav-taisniba-kisindzers-nav-runajis-par-obligatu-piespiedu-vakcinaciju/
,0,https://maldita.es/malditobulo/20210216/imagen-test-antigenos-covid-19-preparados-positivo-negativo/
,0,https://maldita.es/malditobulo/20210131/imagen-migrantes-grupo-prioritario-vacunacion-covid-19-documento-oficial-ministerio-sanidad/
"facebook,twitter,tweet",0,https://www.buzzfeed.com/jp/yutochiba/covid-19-vaccine
,0,https://verificado.com.mx/sin-importar-que-te-digan-la-ivermectina-no-previene-ni-cura-covid-19/
"facebook,twitter",0,https://chequeado.com/verificacionfb/no-cristina-fernandez-de-kirchner-no-fue-vacunada-por-un-falso-enfermero-llamado-maximo-estevez/
,0,https://www.newtral.es/bulo-medicamentos-ivermectina-azitromicina-covid/20210130/
social media,0,https://factcheck.afp.com/clip-german-tv-programme-circulates-misleading-posts-about-coronavirus-vaccines-and-bill-gates
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-otra-vez-ni-ecuador-encontro-cura-del-covid-ni-esta-cadena-cierta-79881
,0,https://www.newtral.es/bulo-imagen-vacuna-astrazeneca-pandemia-farsa/20210130/
,0,https://www.vishvasnews.com/politics/fact-check-who-has-not-announced-sri-lanka-the-fifth-country-in-the-world-in-giving-response-to-covid-19/
,0,https://www.animalpolitico.com/elsabueso/falso-lista-onu-mexico-no-compro-vacunas/
