checked_link,facebook_ids,facebook_links,id,social_medias,twitter_ids,twitter_links
https://leadstories.com/hoax-alert/2020/03/Fact-Check-Photo-Does-NOT-Show-Coffins-Of-Dozens-Of-COVID19-Victims.html,10218606429726694,"https://www.facebook.com/photo.php?fbid=10218606429726694&set=a.10218499222126571&type=3&theater,https://www.facebook.com/search/latest/?q=Photo Shows Coffins Of Dozens Of COVID-19 Victims,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",688,2,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://pesacheck.org/false-this-video-claiming-that-roche-has-developed-a-vaccine-against-covid-19-is-a-hoax-7eddf408dc46?source=rss----ab41f21aa9a9---4,,"https://www.facebook.com/watch/?v=629676257881072,https://www.facebook.com/help/572838089565953?helpref=faq_content,https://web.facebook.com/PesaCheck/",689,0,,
https://leadstories.com/hoax-alert/2020/03/fact-check-no-plan-by-bill-gates-and-the-vatican-to-depopulate-world-with-coronavirus-vaccine-video-misinterprets-gates-speech.html,,"https://www.facebook.com/search/latest/?q=Bill Gates & The Vatican Agenda. Vaccinate 300 Million By 2025. Coronavirus Vaccine & Depopulation,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",690,0,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://leadstories.com/hoax-alert/2020/03/Fact-Check-Joe-Biden-Did-NOT-Test-Positive-For-Coronavirus-As-African-Hoax-Website-Claims.html,,"https://www.facebook.com/search/latest/?q=Joe Biden Tests Positive For Coronavirus,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",691,0,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://factual.afp.com/los-coronavirus-que-ya-afectaban-los-animales-son-distintos-al-del-covid-19-en-humanos,,https://www.facebook.com/AFPFactual/,692,1,1235396111604441091,"https://twitter.com/hashtag/AFP?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/hashtag/DatosCoronavirus?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/AfpFactual/status/1235396111604441091?ref_src=twsrc%5Etfw"
https://www.politifact.com/factchecks/2020/mar/20/chain-message/chain-message-wrong-about-national-guard-military-/,,"https://www.facebook.com/politifact/,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/20/chain-message/chain-message-wrong-about-national-guard-military-/&display=popup&ref=plugin&src=share_button",693,1,"1240945314384826369,1240945314384826369","https://twitter.com/Politifact/,https://twitter.com/marcorubio/status/1240945314384826369,https://twitter.com/marcorubio/status/1240945314384826369,https://twitter.com/Politifact/"
https://checkyourfact.com/2020/03/24/fact-check-photo-coffins-dead-italian-coronavirus-patients/,"10158026622106171,10158026622106171,10158026622106171","https://www.facebook.com/checkyourfact/,https://www.facebook.com/photo.php?fbid=10158026622106171&set=a.56589216170&type=3,https://www.facebook.com/photo.php?fbid=10158026622106171&set=a.56589216170&type=3,https://www.facebook.com/photo.php?fbid=10158026622106171&set=a.56589216170&type=3",694,2,,
https://www.politifact.com/factchecks/2020/mar/30/facebook-posts/another-false-claim-robbers-posing-covid-19-tester/,"10219416795825144,10219416795825144,2840024402748191,10219416795825144,2840024402748191","https://www.facebook.com/politifact/,https://www.facebook.com/photo.php?fbid=10219416795825144&set=a.3457034659162&type=3&theater,https://www.facebook.com/photo.php?fbid=10219416795825144&set=a.3457034659162&type=3&theater,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/MassStatePolice/posts/2840024402748191,https://www.facebook.com/photo.php?fbid=10219416795825144&set=a.3457034659162&type=3&theater,https://www.facebook.com/MassStatePolice/posts/2840024402748191,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/30/facebook-posts/another-false-claim-robbers-posing-covid-19-tester/&display=popup&ref=plugin&src=share_button",695,3,"1240999062259863554,1240999062259863554","https://twitter.com/Politifact/,https://twitter.com/DaviePolice/status/1240999062259863554?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1240999062259863554&ref_url=https%3A%2F%2Fwww.motherjones.com%2Fcoronavirus-updates%2F2020%2F03%2Fpeople-pretending-to-be-cdc-officials-are-knocking-on-doors-selling-fake-coronavirus-testing%2F,https://twitter.com/DaviePolice/status/1240999062259863554?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1240999062259863554&ref_url=https%3A%2F%2Fwww.motherjones.com%2Fcoronavirus-updates%2F2020%2F03%2Fpeople-pretending-to-be-cdc-officials-are-knocking-on-doors-selling-fake-coronavirus-testing%2F,https://twitter.com/Politifact/"
https://leadstories.com/hoax-alert/2020/03/fact-check-coronavirus-cases-in-us-not-linked-to-5g-rollout.html,2657820554449886,"https://www.facebook.com/TrippyMuzikTV/posts/2657820554449886,https://www.facebook.com/search/latest/?q=Coronavirus Cases In U.S. Linked To 5G Rollout,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",696,2,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://leadstories.com/hoax-alert/2020/03/fact-check-fox-news-did-not-win-pulitzer-prize-for-reporting-during-crisis.html,,"https://www.facebook.com/search/latest/?q=Fox News Wins Pulitzer Prize for Reporting During Crisis,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom,https://www.facebook.com/help/publisher/182222309230722,https://www.facebook.com/LeadStoriesCom",697,0,,"https://twitter.com/intent/tweet,https://twitter.com/intent/tweet,https://twitter.com/intent/tweet"
https://africacheck.org/fact-checks/fbchecks/no-gaddafi-didnt-predict-coronavirus-did-talk-about-viruses-and-vaccines,,"https://www.facebook.com/DCMayorsOffice/photos/a.557101561116801/1448475475312734/?type=3&theater,https://www.facebook.com/journalismproject/programs/third-party-fact-checking,https://www.facebook.com/help/572838089565953?helpref=faq_content,https://www.facebook.com/AfricaCheck",698,1,1242089317951922176,https://twitter.com/yawerajaz4/status/1242089317951922176
https://www.politifact.com/factchecks/2020/mar/23/facebook-posts/100-covid-19-cure-no-chloroquine-effectiveness-onl/,"page_internal,page_internal","https://www.facebook.com/politifact/,https://www.facebook.com/pg/teapartyorg/posts/?ref=page_internal,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/pg/teapartyorg/posts/?ref=page_internal,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/23/facebook-posts/100-covid-19-cure-no-chloroquine-effectiveness-onl/&display=popup&ref=plugin&src=share_button",699,3,1240273631604809728,"https://twitter.com/Politifact/,https://twitter.com/RiganoESQ/status/1240273631604809728,https://twitter.com/Politifact/"
https://www.politifact.com/factchecks/2020/mar/19/viral-image/no-trump-didnt-tweet-about-1000-checks/,,"https://www.facebook.com/politifact/,https://www.facebook.com/help/1952307158131536?helpref=related,https://www.facebook.com/politifact/,https://www.facebook.com/sharer/sharer.php?app_id=454308342057334&sdk=joey&u=https://www.politifact.com/factchecks/2020/mar/19/viral-image/no-trump-didnt-tweet-about-1000-checks/&display=popup&ref=plugin&src=share_button",700,0,,"https://twitter.com/Politifact/,https://twitter.com/Politifact/"
