,screen_name,en_astroturf,en_fake_follower,en_financial,en_other,en_overall,en_self_declared,en_spammer,astroturf,fake_follower,financial,other,overall,self_declared,spammer,en_cap,universal_cap
0,@mybmc,0.25,0.24,0.0,0.55,0.27,0.09,0.09,0.22,0.27,0.0,0.58,0.38,0.07,0.18,0.7611878625273879,0.801617083559931
1,@GMA,0.16,0.01,0.0,0.25,0.24,0.01,0.0,0.12,0.04,0.0,0.22,0.19,0.02,0.0,0.7384783166429812,0.6945161422354588
2,@sbauerAP,0.24,0.09,0.0,0.46,0.35,0.03,0.0,0.2,0.09,0.0,0.26,0.49,0.01,0.0,0.7892294694438972,0.8053250497193561
3,@takeuchikumiffy,0.33,0.35,0.01,0.85,0.85,0.05,0.02,0.41,0.27,0.0,0.32,0.25,0.0,0.0,0.8339181685112829,0.760577756485164
4,@Che_guevara_in_,0.41,0.14,0.0,0.26,0.1,0.0,0.0,0.36,0.12,0.0,0.27,0.22,0.0,0.02,0.4756769663222349,0.7334998320027682
5,@GerardoCuba1986,0.16,0.11,0.0,0.36,0.26,0.0,0.02,0.15,0.08,0.0,0.16,0.09,0.0,0.04,0.7546218700467833,0.4658392474232361
6,@grinaldi97,0.13,0.13,0.01,0.37,0.37,0.0,0.01,0.06,0.06,0.0,0.02,0.01,0.0,0.0,0.7920317685697057,0.23332432370635456
7,@mataonline,0.04,0.21,0.0,0.8,0.8,0.26,0.01,0.06,0.11,0.0,0.71,0.71,0.46,0.03,0.812935016236137,0.8068955728616037
8,@IAmSudhirMishra,0.12,0.17,0.01,0.27,0.2,0.0,0.0,0.18,0.15,0.02,0.33,0.29,0.0,0.01,0.6915799517497913,0.7828265255249504
9,@RashminDave3,0.05,0.6,0.06,0.67,0.67,0.26,0.27,0.04,0.32,0.03,0.68,0.68,0.23,0.11,0.7968624754031172,0.8057684213303521
10,@Official_UPD,0.01,0.23,0.0,0.57,0.35,0.02,0.01,0.02,0.07,0.0,0.65,0.65,0.01,0.01,0.7892294694438972,0.8053088638387352
11,@tourismgoi,0.06,0.09,0.0,0.46,0.19,0.0,0.0,0.06,0.06,0.0,0.35,0.23,0.0,0.01,0.6763619064808265,0.7437205366967014
12,@Goldstatetimes,0.25,0.1,0.0,0.43,0.27,0.0,0.0,0.13,0.07,0.0,0.24,0.2,0.0,0.02,0.7611878625273879,0.7089830786080018
13,@GidMK,0.31,0.08,0.0,0.31,0.22,0.0,0.01,0.15,0.06,0.0,0.36,0.21,0.0,0.01,0.7176911080698488,0.7219510972984345
14,@JPeterBurger,0.37,0.12,0.0,0.58,0.58,0.01,0.01,0.24,0.02,0.0,0.14,0.43,0.0,0.0,0.7968599400514179,0.8043181589918191
15,@AntoineLeGENTIL,0.21,0.13,0.0,0.51,0.33,0.02,0.01,0.14,0.0,0.0,0.09,0.09,0.0,0.0,0.7852210697594887,0.4658392474232361
16,@nhsuhcw,0.18,0.1,0.0,0.58,0.58,0.0,0.0,0.07,0.13,0.0,0.41,0.33,0.01,0.01,0.7968599400514179,0.7947108099739177
17,@SaludAntioquia,0.19,0.21,0.0,0.79,0.79,0.14,0.0,0.1,0.14,0.0,0.56,0.32,0.03,0.0,0.8100783815308749,0.792436790569533
18,@marthaperaltae,0.15,0.03,0.0,0.51,0.33,0.0,0.0,0.17,0.05,0.0,0.16,0.23,0.0,0.0,0.7852210697594887,0.7437205366967014
19,@RepAndyBiggsAZ,0.22,0.01,0.0,0.22,0.08,0.0,0.0,0.14,0.01,0.0,0.16,0.47,0.0,0.0,0.4197222421546159,0.8051418496928587
