,screen_name,en_astroturf,en_fake_follower,en_financial,en_other,en_overall,en_self_declared,en_spammer,astroturf,fake_follower,financial,other,overall,self_declared,spammer,en_cap,universal_cap
0,@amitsahjapl,0.08,0.45,0.04,0.7,0.7,0.13,0.16,0.0,0.35,0.0,0.53,0.26,0.14,0.06,0.797782173166965,0.7674214324358889
1,@worqas,0.22,0.05,0.0,0.13,0.13,0.03,0.02,0.22,0.09,0.0,0.2,0.2,0.01,0.01,0.5539725719744064,0.7089830786080018
2,@DaniGagoPhoto,0.22,0.1,0.0,0.56,0.27,0.0,0.0,0.21,0.05,0.01,0.24,0.11,0.01,0.0,0.7611878625273879,0.5222398722127631
3,@Blaise_21,0.29,0.25,0.01,0.25,0.14,0.02,0.0,0.25,0.31,0.0,0.57,0.31,0.0,0.05,0.5778862084370772,0.7897432630001835
4,@CruzRojaAlava,0.04,0.2,0.01,0.72,0.72,0.2,0.01,0.03,0.06,0.0,0.49,0.17,0.04,0.0,0.7989890411370751,0.6608500314332488
5,@cyngarciaradio,0.36,0.04,0.0,0.71,0.71,0.01,0.0,0.16,0.07,0.0,0.33,0.47,0.0,0.01,0.7983123643488195,0.8051418496928587
6,@Tuko_co_ke,0.31,0.43,0.0,0.82,0.82,0.31,0.03,0.3,0.51,0.02,0.91,0.91,0.41,0.0,0.8199148539199458,0.8733944954488508
7,@nerd_hawk,0.23,0.09,0.0,0.43,0.21,0.0,0.01,0.34,0.03,0.0,0.22,0.15,0.0,0.01,0.7053377817049258,0.6207049850511144
8,@zaragoza_es,0.16,0.07,0.0,0.71,0.71,0.05,0.01,0.06,0.07,0.0,0.62,0.62,0.04,0.01,0.7983123643488195,0.8052109974132647
9,@rkagarwal69,0.07,0.26,0.08,0.25,0.33,0.0,0.09,0.04,0.13,0.01,0.21,0.13,0.01,0.04,0.7852210697594887,0.5742686032713971
10,@Valenv36763489,0.47,0.24,0.0,0.61,0.29,0.01,0.0,0.46,0.17,0.0,0.1,0.16,0.0,0.0,0.7717813288270262,0.6415870166679795
11,@nkreplak,0.05,0.05,0.0,0.63,0.63,0.02,0.01,0.02,0.01,0.0,0.22,0.38,0.0,0.0,0.7965971518887632,0.801617083559931
12,@desdelamoncloa,0.06,0.1,0.01,0.78,0.78,0.04,0.01,0.04,0.01,0.0,0.47,0.47,0.0,0.0,0.8076035454448582,0.8051418496928587
13,@Olawoyin4u,0.41,0.17,0.0,0.18,0.05,0.0,0.0,0.42,0.18,0.0,0.1,0.15,0.0,0.0,0.3342309004634953,0.6207049850511144
14,@SaludISCIII,0.21,0.09,0.0,0.68,0.68,0.04,0.0,0.07,0.08,0.0,0.24,0.56,0.0,0.01,0.797075908158591,0.8053747654061287
15,@ClaMoralesM,0.32,0.02,0.0,0.43,0.22,0.0,0.0,0.19,0.02,0.0,0.16,0.17,0.0,0.0,0.7176911080698488,0.6608500314332488
16,@thisisjignesh,0.25,0.02,0.0,0.2,0.08,0.0,0.02,0.14,0.03,0.0,0.07,0.15,0.0,0.0,0.4197222421546159,0.6207049850511144
17,@unicefphils,0.07,0.0,0.01,0.39,0.39,0.0,0.0,0.02,0.02,0.0,0.13,0.51,0.0,0.0,0.7939576449836836,0.8054123562973726
18,@elsan,0.13,0.4,0.0,0.71,0.71,0.28,0.04,0.08,0.24,0.01,0.55,0.42,0.24,0.04,0.7983123643488195,0.8039704121290502
19,@kumaralok554,0.43,0.11,0.0,0.33,0.25,0.0,0.01,0.36,0.14,0.0,0.31,0.12,0.0,0.04,0.7470839770895665,0.5488888157824968
20,@elmermontana,0.5,0.37,0.0,0.64,0.64,0.0,0.0,0.44,0.3,0.0,0.31,0.36,0.01,0.0,0.796599114745521,0.799570188835745
21,@hkpoliceforce,0.19,0.26,0.02,0.63,0.63,0.32,0.02,0.09,0.2,0.02,0.63,0.63,0.34,0.08,0.7965971518887632,0.8052176344738626
22,@otavio_ranzani,0.25,0.03,0.0,0.38,0.25,0.0,0.01,0.17,0.02,0.0,0.14,0.3,0.0,0.0,0.7470839770895665,0.7865642668428161
23,@BolsonaroSP,0.18,0.04,0.0,0.32,0.37,0.0,0.01,0.1,0.01,0.0,0.22,0.19,0.0,0.0,0.7920317685697057,0.6945161422354588
24,@USCIRF,0.2,0.08,0.0,0.61,0.61,0.05,0.0,0.1,0.08,0.0,0.31,0.66,0.03,0.0,0.7966668301280437,0.8054092120440788
25,@MdNasruddinNas3,0.01,0.93,0.29,0.96,0.96,0.75,0.57,0.0,0.98,0.26,0.72,0.98,0.86,0.5,0.9158377984126878,0.9270685798190942
26,@KyotoU_News,0.08,0.12,0.0,0.37,0.28,0.01,0.0,0.05,0.1,0.0,0.24,0.64,0.09,0.02,0.7668769621923945,0.8052478284119403
27,@rammadhav_rss,0.1,0.05,0.01,0.28,0.26,0.01,0.0,0.1,0.08,0.0,0.15,0.46,0.01,0.0,0.7546218700467833,0.8050029368890766
28,@LuisEladioPe,0.17,0.33,0.0,0.55,0.32,0.01,0.12,0.11,0.21,0.0,0.29,0.3,0.0,0.19,0.7826357858330618,0.7865642668428161
29,@SudRadio,0.21,0.49,0.02,0.94,0.94,0.36,0.05,0.17,0.51,0.04,0.88,0.88,0.53,0.03,0.8995513244218455,0.8532920387559139
30,@BashirAhmaad,0.14,0.02,0.0,0.23,0.18,0.0,0.0,0.08,0.02,0.01,0.27,0.24,0.0,0.0,0.659646495284545,0.7527121552274618
31,@savukku,0.14,0.01,0.0,0.39,0.13,0.0,0.0,0.21,0.0,0.0,0.25,0.1,0.0,0.0,0.5539725719744064,0.49449072748283696
32,@PfizerMx,0.16,0.04,0.0,0.68,0.68,0.01,0.01,0.13,0.04,0.01,0.26,0.37,0.0,0.0,0.797075908158591,0.8006881983123656
33,@SubRedNorte,0.12,0.07,0.0,0.71,0.71,0.1,0.0,0.07,0.06,0.0,0.52,0.35,0.0,0.0,0.7983123643488195,0.7982287282125168
34,@AFPphoto,0.17,0.21,0.01,0.82,0.82,0.3,0.04,0.11,0.07,0.01,0.79,0.79,0.32,0.02,0.8199148539199458,0.8169336709169681
35,@bhadohipolice,0.29,0.09,0.05,0.63,0.63,0.02,0.0,0.22,0.09,0.0,0.42,0.11,0.0,0.0,0.7965971518887632,0.5222398722127631
36,@MinexGt,0.03,0.03,0.0,0.71,0.71,0.01,0.0,0.0,0.01,0.0,0.3,0.27,0.0,0.0,0.7983123643488195,0.7733457112766196
37,@prioritiesUSA,0.24,0.15,0.0,0.39,0.39,0.0,0.05,0.17,0.05,0.0,0.26,0.55,0.0,0.01,0.7939576449836836,0.805401613592116
38,@mugecevik,0.37,0.08,0.0,0.41,0.19,0.01,0.0,0.22,0.06,0.01,0.36,0.31,0.0,0.01,0.6763619064808265,0.7897432630001835
39,@GobAragon,0.13,0.1,0.0,0.81,0.81,0.01,0.0,0.08,0.01,0.0,0.69,0.24,0.0,0.0,0.816204310368583,0.7527121552274618
40,@andymstone,0.16,0.06,0.0,0.08,0.03,0.01,0.0,0.08,0.03,0.01,0.07,0.41,0.01,0.0,0.2787259978325127,0.8035432096295109
41,@plomoparejo,0.28,0.13,0.0,0.64,0.36,0.02,0.0,0.13,0.05,0.0,0.37,0.44,0.0,0.01,0.7907586934369296,0.8045992970534486
42,@TheKanikakapoor,0.1,0.0,0.01,0.18,0.08,0.0,0.0,0.05,0.03,0.0,0.22,0.28,0.0,0.01,0.4197222421546159,0.7784494983408411
43,@HummaSaif,0.11,0.07,0.0,0.27,0.2,0.01,0.0,0.09,0.05,0.0,0.34,0.22,0.0,0.0,0.6915799517497913,0.7334998320027682
44,@_DanielSinclair,0.28,0.02,0.0,0.16,0.04,0.0,0.0,0.2,0.01,0.0,0.15,0.09,0.0,0.01,0.30618807248975083,0.4658392474232361
45,@mohebrahim85,0.15,0.26,0.04,0.82,0.82,0.42,0.04,0.15,0.11,0.02,0.52,0.17,0.33,0.01,0.8199148539199458,0.6608500314332488
46,@AlvaroUribeVel,0.27,0.22,0.01,0.37,0.36,0.03,0.0,0.14,0.15,0.0,0.4,0.56,0.02,0.0,0.7907586934369296,0.8053747654061287
47,@OMS_Afrique,0.1,0.16,0.0,0.65,0.65,0.05,0.05,0.04,0.17,0.0,0.54,0.54,0.03,0.03,0.7966368747455678,0.8054210927612583
48,@ChiefPentSpox45,0.12,0.08,0.0,0.27,0.52,0.0,0.05,0.09,0.12,0.02,0.27,0.36,0.0,0.01,0.7971665256798767,0.799570188835745
49,@KeishaBottoms,0.12,0.03,0.0,0.15,0.16,0.0,0.0,0.17,0.0,0.0,0.13,0.23,0.0,0.0,0.621687023966582,0.7437205366967014
50,@IndEmbDoha,0.05,0.02,0.0,0.35,0.2,0.0,0.01,0.05,0.06,0.0,0.25,0.4,0.0,0.0,0.6915799517497913,0.8030212452554465
51,@WilDbadGe,0.19,0.16,0.03,0.41,0.2,0.01,0.01,0.2,0.16,0.0,0.24,0.13,0.0,0.0,0.6915799517497913,0.5742686032713971
52,@IncomeTaxIndia,0.14,0.14,0.01,0.74,0.74,0.37,0.02,0.12,0.07,0.02,0.72,0.72,0.47,0.0,0.8008799175144752,0.8074910771589409
53,@pablodeolavide,0.34,0.06,0.0,0.59,0.34,0.0,0.0,0.26,0.1,0.0,0.28,0.26,0.0,0.0,0.7874002196908744,0.7674214324358889
54,@ElPitazoTV,0.16,0.44,0.01,0.94,0.94,0.35,0.07,0.12,0.38,0.05,0.88,0.88,0.57,0.06,0.8995513244218455,0.8532920387559139
55,@IsraeliPM,0.1,0.24,0.0,0.64,0.64,0.36,0.02,0.05,0.14,0.01,0.74,0.74,0.38,0.04,0.796599114745521,0.8091273704655436
56,@KKMPutrajaya,0.11,0.07,0.0,0.47,0.31,0.02,0.0,0.02,0.03,0.0,0.48,0.35,0.02,0.0,0.779581525363529,0.7982287282125168
57,@business,0.17,0.28,0.01,0.71,0.71,0.05,0.06,0.09,0.25,0.04,0.74,0.74,0.05,0.05,0.7983123643488195,0.8091273704655436
58,@ChhatrabhujPaul,0.08,0.09,0.02,0.13,0.06,0.02,0.02,0.07,0.13,0.02,0.25,0.29,0.01,0.07,0.36264564124632276,0.7828265255249504
59,@sanidadgob,0.08,0.03,0.01,0.65,0.65,0.03,0.0,0.06,0.04,0.0,0.4,0.31,0.02,0.01,0.7966368747455678,0.7897432630001835
60,@sohitmishra99,0.22,0.07,0.01,0.33,0.32,0.0,0.01,0.16,0.02,0.02,0.24,0.38,0.0,0.0,0.7826357858330618,0.801617083559931
61,@umashankarsingh,0.06,0.04,0.0,0.51,0.24,0.0,0.0,0.09,0.02,0.0,0.21,0.18,0.0,0.0,0.7384783166429812,0.6784864269642225
62,@JeanineAnez,0.16,0.06,0.0,0.49,0.32,0.0,0.0,0.07,0.03,0.0,0.34,0.33,0.0,0.0,0.7826357858330618,0.7947108099739177
63,@omarfayad,0.06,0.15,0.0,0.8,0.8,0.25,0.03,0.06,0.09,0.02,0.66,0.66,0.21,0.01,0.812935016236137,0.8054092120440788
64,@paedrazip,0.06,0.05,0.01,0.28,0.07,0.0,0.0,0.03,0.02,0.0,0.1,0.02,0.0,0.0,0.3912159239072283,0.2603678379426137
65,@WNBRLondon,0.09,0.1,0.0,0.32,0.14,0.02,0.0,0.13,0.05,0.0,0.23,0.52,0.01,0.04,0.5778862084370772,0.805428834471509
66,@MayorDanGelber,0.06,0.02,0.0,0.34,0.41,0.0,0.0,0.07,0.05,0.0,0.18,0.46,0.0,0.01,0.7952555385005927,0.8050029368890766
67,@RepJanel,0.23,0.04,0.04,0.29,0.28,0.0,0.0,0.11,0.02,0.0,0.2,0.43,0.0,0.0,0.7668769621923945,0.8043181589918191
68,@sambitswaraj,0.12,0.02,0.0,0.36,0.27,0.0,0.01,0.1,0.0,0.0,0.35,0.2,0.0,0.0,0.7611878625273879,0.7089830786080018
69,@BNPB_Indonesia,0.11,0.23,0.0,0.8,0.8,0.42,0.02,0.16,0.1,0.02,0.85,0.85,0.42,0.04,0.812935016236137,0.8372129323854712
70,@salimmattarBR,0.04,0.24,0.0,0.69,0.69,0.22,0.02,0.08,0.11,0.01,0.73,0.73,0.18,0.03,0.7973765977480777,0.8082278383974655
71,@mikandynothem,0.87,0.55,0.03,0.45,0.87,0.0,0.01,0.94,0.47,0.02,0.49,0.94,0.0,0.07,0.8457543526336647,0.8963872382550993
72,@annafifield,0.22,0.03,0.0,0.22,0.11,0.01,0.0,0.2,0.03,0.0,0.33,0.35,0.0,0.0,0.5027122940873614,0.7982287282125168
73,@Kansanasahabji,0.02,0.28,0.23,0.52,0.4,0.08,0.16,0.01,0.11,0.1,0.14,0.1,0.06,0.08,0.7946723107742963,0.49449072748283696
74,@ronzheimer,0.16,0.07,0.0,0.33,0.64,0.01,0.0,0.05,0.01,0.0,0.27,0.22,0.01,0.0,0.796599114745521,0.7334998320027682
75,@NigeriaNewsdesk,0.06,0.16,0.0,0.91,0.91,0.53,0.02,0.09,0.13,0.05,0.91,0.91,0.63,0.03,0.8748575042966269,0.8733944954488508
76,@almaniadiplo,0.19,0.15,0.03,0.7,0.7,0.02,0.09,0.16,0.16,0.02,0.56,0.56,0.0,0.04,0.797782173166965,0.8053747654061287
77,@IAmSudhirMishra,0.12,0.17,0.01,0.27,0.2,0.0,0.0,0.18,0.15,0.02,0.33,0.29,0.0,0.01,0.6915799517497913,0.7828265255249504
78,@BBCPolitics,0.15,0.11,0.0,0.47,0.48,0.07,0.0,0.17,0.11,0.0,0.5,0.47,0.02,0.04,0.7970609972920484,0.8051418496928587
79,@MidisPeru,0.08,0.0,0.0,0.66,0.66,0.06,0.01,0.1,0.01,0.0,0.55,0.2,0.02,0.0,0.7967206940193189,0.7089830786080018
80,@557_hamd,0.48,0.47,0.02,0.76,0.76,0.09,0.08,0.39,0.55,0.0,0.54,0.33,0.0,0.03,0.8036706514015852,0.7947108099739177
81,@VOSTeuskadi,0.07,0.08,0.0,0.81,0.81,0.02,0.03,0.04,0.11,0.0,0.55,0.27,0.0,0.01,0.816204310368583,0.7733457112766196
82,@kyawlin18,0.2,0.15,0.03,0.27,0.18,0.0,0.01,0.12,0.19,0.02,0.34,0.32,0.0,0.07,0.659646495284545,0.792436790569533
83,@beingarun28,0.32,0.12,0.03,0.51,0.3,0.0,0.0,0.31,0.15,0.03,0.26,0.27,0.0,0.0,0.7759887465100499,0.7733457112766196
84,@INSABI_mx,0.05,0.06,0.0,0.68,0.68,0.02,0.01,0.06,0.02,0.0,0.28,0.37,0.0,0.0,0.797075908158591,0.8006881983123656
85,@azazgpj,0.49,0.32,0.05,0.83,0.83,0.03,0.03,0.44,0.31,0.01,0.58,0.4,0.0,0.01,0.8240917140475522,0.8030212452554465
86,@MundialesSin,0.38,0.27,0.06,0.53,0.18,0.0,0.02,0.3,0.18,0.02,0.26,0.12,0.0,0.01,0.659646495284545,0.5488888157824968
87,@JorgeIvanOspina,0.12,0.02,0.0,0.5,0.39,0.0,0.0,0.06,0.0,0.0,0.17,0.5,0.0,0.0,0.7939576449836836,0.8053787930995948
88,@AmitShah,0.07,0.19,0.0,0.48,0.33,0.09,0.07,0.06,0.09,0.01,0.53,0.45,0.06,0.0,0.7852210697594887,0.8048245702790952
89,@JuEndrino,0.5,0.69,0.0,0.68,0.69,0.01,0.04,0.52,0.76,0.0,0.74,0.76,0.03,0.04,0.7973765977480777,0.8115094045580712
90,@auronplay,0.03,0.12,0.01,0.32,0.13,0.01,0.0,0.06,0.18,0.0,0.43,0.14,0.02,0.04,0.5539725719744064,0.5982419966968565
91,@leticiaspiller,0.08,0.01,0.0,0.57,0.31,0.02,0.0,0.03,0.02,0.0,0.27,0.18,0.0,0.0,0.779581525363529,0.6784864269642225
92,@CMOTamilnadu,0.06,0.18,0.01,0.7,0.7,0.47,0.02,0.08,0.11,0.0,0.72,0.72,0.38,0.01,0.797782173166965,0.8074910771589409
93,@InnovativeHindu,0.41,0.21,0.23,0.59,0.59,0.03,0.02,0.34,0.18,0.1,0.4,0.32,0.01,0.01,0.7967905786038864,0.792436790569533
94,@Vinay_Dwivedii,0.18,0.3,0.02,0.73,0.73,0.01,0.01,0.23,0.22,0.01,0.45,0.28,0.0,0.02,0.7998362042473794,0.7784494983408411
95,@sandeep_anaberu,0.07,0.04,0.0,0.26,0.18,0.0,0.0,0.07,0.02,0.0,0.15,0.26,0.0,0.0,0.659646495284545,0.7674214324358889
96,@LucianoHuck,0.05,0.02,0.0,0.41,0.37,0.01,0.01,0.03,0.04,0.0,0.22,0.42,0.0,0.0,0.7920317685697057,0.8039704121290502
97,@rquiroga777,0.3,0.08,0.0,0.53,0.24,0.0,0.0,0.18,0.08,0.0,0.19,0.16,0.0,0.0,0.7384783166429812,0.6415870166679795
98,@ourkuwait,0.06,0.2,0.02,0.74,0.2,0.13,0.03,0.06,0.08,0.0,0.36,0.11,0.0,0.01,0.6915799517497913,0.5222398722127631
99,@drfahrettinkoca,0.03,0.22,0.0,0.7,0.7,0.26,0.01,0.07,0.09,0.02,0.7,0.7,0.14,0.04,0.797782173166965,0.8064216072785402
100,@prajwalmanipal,0.3,0.1,0.0,0.22,0.05,0.0,0.01,0.16,0.03,0.0,0.23,0.33,0.0,0.01,0.3342309004634953,0.7947108099739177
101,@KeatonPatti,0.03,0.31,0.0,0.34,0.35,0.06,0.01,0.06,0.18,0.0,0.44,0.22,0.05,0.0,0.7892294694438972,0.7334998320027682
102,@ss_suryawanshi,0.09,0.04,0.0,0.54,0.33,0.02,0.0,0.06,0.08,0.01,0.67,0.25,0.02,0.01,0.7852210697594887,0.760577756485164
103,@HniaziISF,0.13,0.03,0.0,0.14,0.15,0.0,0.0,0.15,0.0,0.0,0.22,0.27,0.0,0.0,0.6004883262510591,0.7733457112766196
104,@aravindcherry,0.11,0.04,0.0,0.41,0.2,0.0,0.01,0.14,0.02,0.0,0.2,0.12,0.0,0.0,0.6915799517497913,0.5488888157824968
105,@lilach_v,0.09,0.16,0.0,0.67,0.67,0.15,0.02,0.09,0.13,0.0,0.42,0.12,0.08,0.0,0.7968624754031172,0.5488888157824968
106,@Damodar65212309,0.03,0.56,0.02,0.38,0.56,0.03,0.2,0.0,0.46,0.03,0.42,0.42,0.02,0.28,0.7969945574902298,0.8039704121290502
107,@ashokgehlot51,0.03,0.22,0.0,0.51,0.3,0.1,0.03,0.06,0.14,0.01,0.73,0.73,0.11,0.0,0.7759887465100499,0.8082278383974655
108,@FMHDSD,0.04,0.08,0.0,0.47,0.24,0.03,0.01,0.08,0.07,0.01,0.54,0.44,0.02,0.0,0.7384783166429812,0.8045992970534486
109,@mluciaramirez,0.21,0.02,0.0,0.56,0.41,0.01,0.0,0.13,0.01,0.0,0.17,0.38,0.0,0.0,0.7952555385005927,0.801617083559931
110,@alainhoupert,0.6,0.21,0.01,0.58,0.34,0.0,0.01,0.64,0.05,0.01,0.34,0.33,0.01,0.0,0.7874002196908744,0.7947108099739177
111,@SAHPRA1,0.19,0.07,0.01,0.37,0.43,0.04,0.0,0.19,0.07,0.0,0.28,0.54,0.04,0.0,0.7961080923981387,0.8054210927612583
112,@KagutaMuseveni,0.05,0.13,0.0,0.65,0.65,0.21,0.0,0.03,0.02,0.0,0.61,0.26,0.14,0.0,0.7966368747455678,0.7674214324358889
113,@bbbii1010,0.27,0.65,0.15,0.89,0.89,0.66,0.21,0.19,0.65,0.03,0.74,0.74,0.66,0.23,0.8595061719862279,0.8091273704655436
114,@KaushikKumarMi3,0.68,0.35,0.05,0.61,0.68,0.03,0.03,0.74,0.38,0.02,0.56,0.74,0.0,0.03,0.797075908158591,0.8091273704655436
115,@CarlosFGalan,0.13,0.04,0.0,0.41,0.29,0.03,0.01,0.08,0.01,0.0,0.14,0.12,0.01,0.0,0.7717813288270262,0.5488888157824968
116,@mohsinmalvi19,0.7,0.46,0.0,0.53,0.7,0.03,0.02,0.79,0.44,0.02,0.48,0.79,0.06,0.02,0.797782173166965,0.8169336709169681
117,@UNDPGhana,0.12,0.01,0.0,0.47,0.45,0.01,0.0,0.09,0.01,0.0,0.37,0.4,0.0,0.0,0.7966467093695401,0.8030212452554465
118,@unisevilla,0.32,0.03,0.0,0.73,0.73,0.01,0.0,0.1,0.02,0.0,0.34,0.26,0.0,0.0,0.7998362042473794,0.7674214324358889
119,@BBMPAdmn,0.06,0.11,0.0,0.52,0.47,0.04,0.02,0.04,0.1,0.0,0.59,0.59,0.02,0.0,0.7969641686241824,0.8052746490850863
120,@Muoqbal,0.07,0.37,0.11,0.72,0.72,0.13,0.17,0.08,0.11,0.01,0.46,0.12,0.01,0.03,0.7989890411370751,0.5488888157824968
121,@PMEthiopia,0.05,0.27,0.01,0.51,0.33,0.07,0.03,0.03,0.25,0.0,0.64,0.24,0.05,0.02,0.7852210697594887,0.7527121552274618
122,@NYCMayor,0.14,0.08,0.0,0.42,0.42,0.0,0.0,0.11,0.03,0.0,0.37,0.37,0.0,0.01,0.795728227940139,0.8006881983123656
123,@MonaFahad13,0.14,0.47,0.09,0.68,0.68,0.01,0.26,0.11,0.4,0.02,0.42,0.43,0.01,0.26,0.797075908158591,0.8043181589918191
124,@deliberative247,0.04,0.47,0.07,0.63,0.63,0.46,0.29,0.13,0.39,0.07,0.56,0.39,0.51,0.29,0.7965971518887632,0.8023863559365568
125,@ColegioMedicoCo,0.05,0.17,0.0,0.77,0.77,0.09,0.02,0.05,0.17,0.0,0.77,0.77,0.08,0.01,0.8054784364249085,0.813043153461001
126,@UZBrussel,0.08,0.1,0.0,0.61,0.37,0.01,0.01,0.02,0.06,0.0,0.39,0.42,0.03,0.0,0.7920317685697057,0.8039704121290502
127,@SIMUNOZV,0.23,0.05,0.0,0.4,0.26,0.0,0.0,0.11,0.02,0.01,0.09,0.04,0.0,0.0,0.7546218700467833,0.31739450135566455
128,@Channel4News,0.3,0.25,0.01,0.49,0.49,0.11,0.0,0.28,0.23,0.01,0.62,0.62,0.04,0.01,0.7971250161607958,0.8052109974132647
129,@askomartin,0.16,0.05,0.0,0.41,0.25,0.01,0.01,0.16,0.07,0.0,0.26,0.27,0.0,0.0,0.7470839770895665,0.7733457112766196
130,@KyDeptofEd,0.13,0.03,0.0,0.45,0.24,0.01,0.0,0.04,0.03,0.0,0.29,0.31,0.0,0.0,0.7384783166429812,0.7897432630001835
131,@CGTNOfficial,0.17,0.21,0.04,0.71,0.71,0.27,0.03,0.13,0.13,0.07,0.69,0.69,0.31,0.05,0.7983123643488195,0.8060512678410475
132,@BJP4Delhi,0.1,0.02,0.0,0.53,0.25,0.01,0.0,0.08,0.01,0.0,0.34,0.37,0.0,0.0,0.7470839770895665,0.8006881983123656
133,@DrKKAggarwal,0.12,0.23,0.0,0.62,0.36,0.23,0.04,0.08,0.19,0.02,0.57,0.57,0.17,0.01,0.7907586934369296,0.8053429027352532
134,@NBTDilli,0.1,0.12,0.01,0.78,0.78,0.54,0.04,0.17,0.14,0.02,0.68,0.68,0.5,0.02,0.8076035454448582,0.8057684213303521
135,@rossi_delfina,0.21,0.09,0.0,0.55,0.55,0.02,0.01,0.13,0.12,0.0,0.12,0.35,0.0,0.0,0.797053679565984,0.7982287282125168
136,@PDHgt,0.04,0.25,0.0,0.92,0.92,0.25,0.0,0.03,0.12,0.0,0.7,0.7,0.43,0.01,0.8829632678129363,0.8064216072785402
137,@popularesVLC,0.2,0.06,0.01,0.66,0.66,0.01,0.0,0.09,0.05,0.0,0.43,0.32,0.0,0.0,0.7967206940193189,0.792436790569533
138,@GibraltarGov,0.06,0.09,0.01,0.65,0.29,0.42,0.0,0.02,0.11,0.02,0.54,0.42,0.24,0.01,0.7717813288270262,0.8039704121290502
139,@hospimilAragua,0.11,0.23,0.05,0.9,0.9,0.18,0.04,0.05,0.15,0.0,0.77,0.77,0.0,0.01,0.8670116134145492,0.813043153461001
140,@HLNinEngeland,0.05,0.04,0.01,0.16,0.08,0.02,0.0,0.03,0.01,0.0,0.2,0.25,0.0,0.0,0.4197222421546159,0.760577756485164
141,@inclusiongob,0.14,0.07,0.0,0.51,0.47,0.06,0.01,0.08,0.03,0.01,0.21,0.63,0.01,0.0,0.7969641686241824,0.8052176344738626
142,@RoyBarreras,0.28,0.06,0.0,0.5,0.32,0.01,0.0,0.24,0.06,0.0,0.16,0.22,0.0,0.0,0.7826357858330618,0.7334998320027682
143,@itskJayaprakash,0.07,0.22,0.01,0.48,0.28,0.0,0.03,0.13,0.11,0.0,0.31,0.28,0.0,0.01,0.7668769621923945,0.7784494983408411
