,screen_name,en_astroturf,en_fake_follower,en_financial,en_other,en_overall,en_self_declared,en_spammer,astroturf,fake_follower,financial,other,overall,self_declared,spammer,en_cap,universal_cap
0,@GDTGuardiaCivil,0.12,0.05,0.0,0.56,0.43,0.0,0.01,0.08,0.06,0.0,0.25,0.72,0.0,0.0,0.7961080923981387,0.8074910771589409
1,@IngrahamAngle,0.09,0.05,0.0,0.26,0.24,0.02,0.0,0.06,0.08,0.0,0.29,0.4,0.02,0.0,0.7384783166429812,0.8030212452554465
2,@alefrota77,0.23,0.4,0.25,0.76,0.76,0.06,0.03,0.19,0.34,0.16,0.55,0.44,0.03,0.0,0.8036706514015852,0.8045992970534486
3,@maguerram,0.28,0.08,0.01,0.4,0.34,0.02,0.0,0.25,0.08,0.0,0.24,0.24,0.0,0.0,0.7874002196908744,0.7527121552274618
4,@gmanews,0.08,0.09,0.02,0.72,0.72,0.14,0.02,0.06,0.1,0.0,0.68,0.68,0.07,0.03,0.7989890411370751,0.8057684213303521
5,@trvrb,0.15,0.11,0.0,0.55,0.43,0.13,0.0,0.2,0.1,0.0,0.54,0.33,0.04,0.01,0.7961080923981387,0.7947108099739177
6,@francebleuparis,0.14,0.12,0.0,0.77,0.77,0.26,0.03,0.12,0.13,0.0,0.63,0.63,0.05,0.0,0.8054784364249085,0.8052176344738626
7,@EmbaixadaChina,0.17,0.06,0.0,0.65,0.34,0.02,0.02,0.1,0.02,0.0,0.33,0.42,0.01,0.0,0.7874002196908744,0.8039704121290502
8,@CHUBordeaux,0.24,0.14,0.03,0.58,0.42,0.1,0.01,0.2,0.07,0.0,0.31,0.42,0.0,0.01,0.795728227940139,0.8039704121290502
9,@CDC17GA,0.07,0.41,0.01,0.57,0.32,0.04,0.1,0.1,0.18,0.0,0.39,0.28,0.05,0.03,0.7826357858330618,0.7784494983408411
10,@allfama,0.15,0.13,0.02,0.73,0.24,0.07,0.05,0.04,0.14,0.0,0.44,0.14,0.02,0.02,0.7384783166429812,0.5982419966968565
11,@almaniadiplo,0.2,0.17,0.03,0.74,0.74,0.02,0.07,0.18,0.17,0.02,0.56,0.56,0.01,0.03,0.8008799175144752,0.8053747654061287
12,@CyrilRamaphosa,0.11,0.22,0.02,0.71,0.71,0.45,0.05,0.27,0.06,0.01,0.72,0.72,0.48,0.04,0.7983123643488195,0.8074910771589409
13,@RashminDave3,0.05,0.6,0.06,0.67,0.67,0.26,0.27,0.04,0.32,0.03,0.68,0.68,0.23,0.11,0.7968624754031172,0.8057684213303521
