id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
_1089628305073029121,_413318409,Essa família ❤️👈🏽 Niver de 84 anos de Rodrigo Velloso! Os irmãos @caetanoveloso e #MariaBethânia comemorando em… https://t.co/PSC3RiE79P,2019-01-27 20:56:46,None,,None,,601,84,163889,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3650,375,969900,pt
_1089628305073029121,_413318409,Essa família ❤️👈🏽 Niver de 84 anos de Rodrigo Velloso! Os irmãos @caetanoveloso e #MariaBethânia comemorando em… https://t.co/PSC3RiE79P,2019-01-27 20:56:46,None,,None,,601,84,163889,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3650,375,969900,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19362,3121,2077561,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19362,3121,2077561,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3650,375,969900,pt
_1310601334211698688,_128372940,"- Sociedade Européia de Cardiologia afirma: o uso da Hidroxicloroquina não causa arritmia.
- Milhares de vidas pode… https://t.co/FJiAmawk6G",2020-09-28 15:24:42,None,,None,Brasília  Brasil,34963,9739,6683796,pt
_1352590167220088835,_43041690,Tratamento precoce agora também nos Estados Unidos   Jornal Americano de Medicina recomenda Hidroxicloroquina e Azi… https://t.co/CrAZHxu93w,2021-01-22 12:13:20,None,,None,Porto Alegre  RS,0,0,776924,pt
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
_1089628305073029121,_413318409,Essa família ❤️👈🏽 Niver de 84 anos de Rodrigo Velloso! Os irmãos @caetanoveloso e #MariaBethânia comemorando em… https://t.co/PSC3RiE79P,2019-01-27 20:56:46,None,,None,,601,84,163892,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3650,375,969926,pt
_1089628305073029121,_413318409,Essa família ❤️👈🏽 Niver de 84 anos de Rodrigo Velloso! Os irmãos @caetanoveloso e #MariaBethânia comemorando em… https://t.co/PSC3RiE79P,2019-01-27 20:56:46,None,,None,,601,84,163892,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3650,375,969926,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19356,3121,2076711,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19356,3121,2077625,pt
_1346229293643403265,_583108053,É #FAKE! Este vídeo é de 2019 e não do Ano Novo de 2020/2021. #FakeNews https://t.co/PpuRajuqQQ,2021-01-04 22:57:29,None,,None,,3650,375,969926,pt
_1344326604550529024,_30354991,Getting the COVID-19 vaccine will save your life. I have absolute confidence in our scientists and look forward to… https://t.co/RTzfkon3xJ,2020-12-30 16:56:53,None,,None,California,29596,3491,17465629,en
_1340376981444194304,_17061263,"זריקה קטנה לאדם  צעד ענק לבריאות של כולנו. 
**
בדרך לחיסון הערב חשבתי הערב על הילדים שדואגים להורים שלהם. 

על הנכד… https://t.co/aoHgigJy2I",2020-12-19 19:22:30,None,,None,Israel,1809,183,1874832,iw
_1340376981444194304,_17061263,"זריקה קטנה לאדם  צעד ענק לבריאות של כולנו. 
**
בדרך לחיסון הערב חשבתי הערב על הילדים שדואגים להורים שלהם. 

על הנכד… https://t.co/aoHgigJy2I",2020-12-19 19:22:30,None,,None,Israel,1809,183,1874832,iw
_314900979462045696,_138814032,Hoy  recibiendo la vacuna antigripal  gratuita  de la Campaña Nacional de Vacunación que empezamos el martes pasado. http://t.co/m6O4jYqKhU,2013-03-22 00:46:59,None,,None,Argentina,199,397,5963859,es
_314900979462045696,_138814032,Hoy  recibiendo la vacuna antigripal  gratuita  de la Campaña Nacional de Vacunación que empezamos el martes pasado. http://t.co/m6O4jYqKhU,2013-03-22 00:46:59,None,,None,Argentina,199,397,5963859,es
_1286994557440348160,_128372940,"- RT-PCR para Sars-Cov 2: negativo.
- BOM DIA A TODOS. https://t.co/CkdV59yGXP",2020-07-25 11:59:48,None,,None,Brasília  Brasil,86243,14917,6683728,pt
_1310601334211698688,_128372940,"- Sociedade Européia de Cardiologia afirma: o uso da Hidroxicloroquina não causa arritmia.
- Milhares de vidas pode… https://t.co/FJiAmawk6G",2020-09-28 15:24:42,None,,None,Brasília  Brasil,34961,9739,6683728,pt
_1286994557440348160,_128372940,"- RT-PCR para Sars-Cov 2: negativo.
- BOM DIA A TODOS. https://t.co/CkdV59yGXP",2020-07-25 11:59:48,None,,None,Brasília  Brasil,86243,14917,6683728,pt
_1310601334211698688,_128372940,"- Sociedade Européia de Cardiologia afirma: o uso da Hidroxicloroquina não causa arritmia.
- Milhares de vidas pode… https://t.co/FJiAmawk6G",2020-09-28 15:24:42,None,,None,Brasília  Brasil,34961,9739,6683728,pt
_1352590167220088835,_43041690,Tratamento precoce agora também nos Estados Unidos   Jornal Americano de Medicina recomenda Hidroxicloroquina e Azi… https://t.co/CrAZHxu93w,2021-01-22 12:13:20,None,,None,Porto Alegre  RS,0,0,776959,pt
_1352590167220088835,_43041690,Tratamento precoce agora também nos Estados Unidos   Jornal Americano de Medicina recomenda Hidroxicloroquina e Azi… https://t.co/CrAZHxu93w,2021-01-22 12:13:20,None,,None,Porto Alegre  RS,0,0,776959,pt
_1352559051641679872,_68712576,A única coisa que devo ter furado deve ter sido a mãe de quem divulga mais uma fakenews de nível global e diária! A… https://t.co/Vx7tJYhMQo,2021-01-22 10:09:41,None,,None,Rio de Janeiro-RJ,19356,3121,2077625,pt
_1343943312089239553,_740672835899756544,La vicegob @Florelop inició el Plan Estratégico de Vacunación contra #COVID19 en el 🏥 Enrique Vera Barros. El dr. R… https://t.co/slPGszaCvx,2020-12-29 15:33:49,None,,None,La Rioja  Argentina,22,7,2876,es
id,user_id,text,created_at,geo,place_name,coordinates,user_location,likes,retweets,followers,lang
