,id,title,text,claimDate,reviewDate,claimant,publisher,url,label,found,query,poynter_date
10367,10204,,,,,,,,,9,https://www.rappler.com/newsbreak/fact-check/253981-entire-family-pasig-infected-novel-coronavirus,2020-03-09 00:00:00
10368,10205,,,,,,,,,9,https://www.lemonde.fr/les-decodeurs/article/2020/03/13/pourquoi-il-est-trompeur-de-dire-qu-une-seconde-souche-du-coronavirus-tueur-se-propage_6032932_4355770.html,2020-03-09 00:00:00
10369,10206,,,,,,,,,9,https://www.lemonde.fr/les-decodeurs/article/2020/03/11/non-ce-laboratoire-ne-cherche-pas-des-cobayes-pour-leur-injecter-le-virus-responsable-du-covid-19_6032598_4355770.html,2020-03-09 00:00:00
10370,10207,,,,,,,,,9,https://www.politifact.com/factchecks/2020/mar/13/viral-image/are-80-percent-coronavirus-cases-mild/,2020-03-09 00:00:00
10371,10208,,,,,,,,,9,https://maldita.es/malditobulo/2020/03/10/no-la-comunidad-de-madrid-no-ha-comunicado-que-las-clases-suspendidas-por-el-coronavirus-seran-recuperadas-en-verano-es-un-montaje/,2020-03-09 00:00:00
10372,10209,"No, the Clintons aren't responsible for more deaths than the ...",“Coronavirus — 22. Clintons — 39.”,2020-03-09T00:00:00Z,,Facebook posts,PolitiFact,https://www.politifact.com/factchecks/2020/mar/16/facebook-posts/no-clintons-arent-responsible-more-deaths-coronavi/,Pants on Fire,1,https://www.politifact.com/factchecks/2020/mar/16/facebook-posts/no-clintons-arent-responsible-more-deaths-coronavi/,2020-03-09 00:00:00
10373,10210,,,,,,,,,9,https://misbar.com/factcheck/5e664c34d4a229689751d113,2020-03-09 00:00:00
10374,10211,,,,,,,,,9,https://misbar.com/factcheck/5e66274bd4a22917805f52f8,2020-03-09 00:00:00
10375,10212,,,,,,,,,9,https://vistinomer.mk/dezinformacii-za-korona-virusot-doa%d1%93aat-i-od-lekari/,2020-03-09 00:00:00
10376,10213,,,,,,,,,9,https://vistinomer.mk/tendenciozna-ob%d1%98ava-za-diskreditaci%d1%98a-na-shilegov/,2020-03-09 00:00:00
10377,10214,,,,,,,,,9,https://misbar.com/factcheck/5e660c31d4a22917805f52f7,2020-03-09 00:00:00
10378,10215,,,,,,,,,9,https://tg24.sky.it/cronaca/2020/03/09/coronavirus-mascherine-amazon-facebook.html?fbclid=IwAR3HCMYPtdXnppeGf9w25mRFqvR-OQoSOwP9FYrYX2f8_twrwuUD5pRhXgs?check=1,2020-03-09 00:00:00
10379,10216,,,,,,,,,9,https://tg24.sky.it/cronaca/2020/03/09/coronavirus-mascherine-amazon-facebook.html?fbclid=IwAR3HCMYPtdXnppeGf9w25mRFqvR-OQoSOwP9FYrYX2f8_twrwuUD5pRhXgs?check=2,2020-03-09 00:00:00
10380,10217,,,,,,,,,9,https://www.mm.dk/tjekdet/artikel/eu-bryder-ikke-coronaregler-for-gretas-skyld-som-venstrepolitiker-skriver,2020-03-09 00:00:00
10381,10218,,,,,,,,,9,https://www.youtube.com/watch?v=YLn9EL7t1L8&list=PLQM82xOBx-5uY4lw0pOOm5url9nVSVu5H&index=20&t=31s?check=2,2020-03-09 00:00:00
10382,10219,,,,,,,,,9,https://factual.afp.com/el-titular-de-un-diario-con-una-frase-de-la-canciller-boliviana-sobre-el-coronavirus-es-un-montaje,2020-03-09 00:00:00
10383,10220,,"Photos shows coronavirus magnified 2,600 times",2020-03-08T00:00:00Z,2020-03-12T06:15:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/no-magnified-photo-weevil,FALSE,1,https://factcheck.afp.com/no-magnified-photo-weevil,2020-03-08 00:00:00
10384,10221,En la Terminal de Cali no se desmayó una persona con coronavirus ...,En la Terminal de Transporte de Cali se desmayó una persona con coronavirus,,2020-03-09T18:18:36Z,,ColombiaCheck,https://colombiacheck.com/chequeos/en-la-terminal-de-cali-no-se-desmayo-una-persona-con-coronavirus-covid-19,Falso,1,https://colombiacheck.com/chequeos/en-la-terminal-de-cali-no-se-desmayo-una-persona-con-coronavirus-covid-19,2020-03-08 00:00:00
10385,10222,,,,,,,,,9,u.afp.com/35Q7,2020-03-08 00:00:00
10386,10223,,,,,,,,,9,https://www.facebook.com/photo.php?fbid=3262544847108338&set=a.1798226796873491&type=3&theater,2020-03-08 00:00:00
10387,10224,,,,,,,,,9,https://colombiacheck.com/chequeos/gobierno-colombiano-no-ha-dicho-que-cerrara-frontera-con-venezuela-por-coronavirus,2020-03-08 00:00:00
10388,10225,,,,,,,,,9,https://hoax-alert.leadstories.com/3471856-fact-check-states-are-not-imposing-mandatory-leave-and-statewide-school-closures-due-to-coronavirus.html#live,2020-03-08 00:00:00
10389,10226,,,,,,,,,9,https://misbar.com/factcheck/5e6502c9d4a22917805f52f5,2020-03-08 00:00:00
10390,10227,,"Drinking vegetable juice, bitter gourd, can cure COVID-19",2020-03-10T00:00:00Z,2020-03-24T04:00:00Z,Mutliple Sources,AFP Fact Check,https://factcheck.afp.com/indian-health-authorities-refute-myth-juiced-vegetables-can-cure-covid-19,False,1,https://factcheck.afp.com/indian-health-authorities-refute-myth-juiced-vegetables-can-cure-covid-19,2020-03-08 00:00:00
10391,10228,,,,,,,,,9,https://factcheck.ge/ka/story/38423--%E1%83%93%E1%83%94%E1%83%96%E1%83%98%E1%83%9C%E1%83%A4%E1%83%9D%E1%83%A0%E1%83%9B%E1%83%90%E1%83%AA%E1%83%98%E1%83%90-5g-%E1%83%98%E1%83%A1-%E1%83%99%E1%83%9D%E1%83%A0%E1%83%9D%E1%83%9C%E1%83%90%E1%83%95%E1%83%98%E1%83%A0%E1%83%A3%E1%83%A1%E1%83%97%E1%83%90%E1%83%9C-%E1%83%99%E1%83%90%E1%83%95%E1%83%A8%E1%83%98%E1%83%A0%E1%83%98%E1%83%A1-%E1%83%A8%E1%83%94%E1%83%A1%E1%83%90%E1%83%AE%E1%83%94%E1%83%91,2020-03-08 00:00:00
10392,10229,,,,,,,,,9,https://www.ellinikahoaxes.gr/2020/03/08/italian-doctor-instructions-coronavirus-missinformation/,2020-03-08 00:00:00
10393,10230,,,,,,,,,9,https://english.factcrescendo.com/2020/03/18/fact-check-hot-air-from-hair-dryer-can-kill-coronavirus/?check=1,2020-03-08 00:00:00
10394,10231,,China develops COVID-19 vaccine,2020-03-07T00:00:00Z,2020-03-23T06:30:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/image-has-circulated-reports-about-china-testing-potential-covid-19-vaccine-has-not-been-approved,Misleading,1,https://factcheck.afp.com/image-has-circulated-reports-about-china-testing-potential-covid-19-vaccine-has-not-been-approved,2020-03-07 00:00:00
10395,10232,,,,,,,,,9,https://factcheck.vlaanderen/factcheck/beschermt-vlierbessiroop-tegen-het-coronavirus,2020-03-08 00:00:00
10396,10233,Farklı illerden olduğu iddiasıyla paylaşılan karantina videosu,Farklı illerden olduğu iddiasıyla paylaşılan karantina videosu,2020-03-04T00:00:00Z,2020-03-07T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/farkli-illerden-oldugu-iddiasiyla-paylasilan-karantina-videosu,Yanlış,1,https://teyit.org/farkli-illerden-oldugu-iddiasiyla-paylasilan-karantina-videosu/,2020-03-07 00:00:00
10397,10234,,Smoking prevents novel coronavirus infection,2020-03-07T00:00:00Z,2020-03-17T06:15:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/smoking-could-increase-your-risk-developing-severe-coronavirus-illness-who-says,False,1,https://factcheck.afp.com/smoking-could-increase-your-risk-developing-severe-coronavirus-illness-who-says,2020-03-07 00:00:00
10398,10235,,Effondrement de l'hôpital chinois construit en 10 jours,2020-03-11T00:00:00Z,2020-03-11T08:42:00Z,Za3TOUT+18 زعطوط,AFP Factuel,https://factuel.afp.com/ces-images-montrent-leffondrement-dun-hotel-en-chine-ou-des-patients-atteints-du-covid-19-etaient-en,Faux,1,https://factuel.afp.com/ces-images-montrent-leffondrement-dun-hotel-en-chine-ou-des-patients-atteints-du-covid-19-etaient-en,2020-03-07 00:00:00
10399,10236,,,,,,,,,9,https://www.boomlive.in/health/does-homeopathic-medicine-arsenicum-album-30-prevent-coronavirus-a-fact-check-7156,2020-03-07 00:00:00
10400,10237,,,,,,,,,9,https://english.factcrescendo.com/2020/03/07/fact-check-cocaine-is-an-effective-medicine-to-treat-coronavirus/,2020-03-07 00:00:00
10401,10238,,,,,,,,,9,https://www.francetvinfo.fr/sante/maladie/coronavirus/epidemie-de-coronavirus-le-gouvernement-a-t-il-raison-quand-il-dit-que-le-droit-de-retrait-ne-s-applique-pas_3853291.html,2020-03-07 00:00:00
10402,10239,,,,,,,,,9,https://factnameh.com/fact-checks/2020-03-09-parviz-nouri-sayha.html,2020-03-07 00:00:00
10403,10240,,,,,,,,,9,https://www.francetvinfo.fr/sante/maladie/coronavirus/epidemie-de-coronavirus-une-mutation-a-t-elle-rendu-le-covid-19-plus-agressif_3853581.html,2020-03-07 00:00:00
10404,10241,,,,,,,,,9,https://hoax-alert.leadstories.com/3471853-fact-check-tanzania-confirms-first-case-of-coronavirus---mcm.html,2020-03-07 00:00:00
10405,10242,,,,,,,,,9,https://www.newschecker.in/article/news-detail/275_15118093,2020-03-07 00:00:00
10406,10243,Farklı illerden olduğu iddiasıyla paylaşılan karantina videosu,Farklı illerden olduğu iddiasıyla paylaşılan karantina videosu,2020-03-04T00:00:00Z,2020-03-07T00:00:00Z,Sosyal Medya,Teyit.org,https://teyit.org/farkli-illerden-oldugu-iddiasiyla-paylasilan-karantina-videosu,Yanlış,1,https://teyit.org/farkli-illerden-oldugu-iddiasiyla-paylasilan-karantina-videosu/,2020-03-07 00:00:00
10407,10244,,,,,,,,,9,https://factcheck.afp.com/video-shows-security-exercise-simulating-hostage-taking-dakar-airport,2020-03-07 00:00:00
10408,10245,,,,,,,,,9,https://www.politifact.com/factchecks/2020/mar/11/gae-magnafici/Wisconsin-more-died-hillary-clinton-coronavirus/,2020-03-07 00:00:00
10409,10246,,Drinking alcoholic beverages prevents coronavirus infection,2020-03-11T00:00:00Z,2020-03-11T22:52:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/fake-us-hospital-letter-says-alcohol-reduces-covid-19-risks,False,1,https://factcheck.afp.com/fake-us-hospital-letter-says-alcohol-reduces-covid-19-risks,2020-03-07 00:00:00
10410,10247,,,,,,,,,9,https://www.rappler.com/newsbreak/fact-check/253849-graphics-unicef-tips-novel-coronavirus,2020-03-07 00:00:00
10411,10248,,Video shows China lifts ban on Korans during COVID-19 pandemic,2020-03-07T00:00:00Z,2020-03-26T05:10:00Z,Multiple sources,AFP Fact Check,https://factcheck.afp.com/video-has-circulated-online-least-2013-and-shows-people-receiving-bibles,False,1,https://factcheck.afp.com/video-has-circulated-online-least-2013-and-shows-people-receiving-bibles,2020-03-07 00:00:00
10412,10249,,,,,,,,,9,https://www.rappler.com/newsbreak/fact-check/254434-alcoholic-drinks-reduce-coronavirus-risk,2020-03-07 00:00:00
10413,10250,'Leaked documents' don't prove US hospitals preparing for 96 ...,"“U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.”",2020-03-07T00:00:00Z,,Facebook posts,PolitiFact,https://www.politifact.com/factchecks/2020/mar/13/facebook-posts/leaked-documents-dont-prove-us-hospitals-preparing/,False,1,https://www.politifact.com/factchecks/2020/mar/13/facebook-posts/leaked-documents-dont-prove-us-hospitals-preparing/,2020-03-07 00:00:00
10414,10251,,,,,,,,,9,https://misbar.com/factcheck/5e637d07d4a2290e0e135309,2020-03-07 00:00:00
10415,10252,,,,,,,,,9,https://youtu.be/69Pl_6Nzhio,2020-03-07 00:00:00
10416,10253,,,,,,,,,9,https://ici.radio-canada.ca/nouvelle/1671055/5g-coronavirus-wuhan-inovio-vaccin,2020-03-07 00:00:00
10417,10254,,,,,,,,,9,https://factcheck.afp.com/image-has-circulated-reports-about-china-testing-potential-covid-19-vaccine-has-not-been-approved?check=1,2020-03-07 00:00:00
10418,10255,,,,,,,,,9,https://factcheck.afp.com/image-has-circulated-reports-about-china-testing-potential-covid-19-vaccine-has-not-been-approved?check=2,2020-03-07 00:00:00
10419,10256,,Henry Kissinger a encouragé la vaccination obligatoire lors d'un discours de 2009,2020-04-25T00:00:00Z,2020-04-30T16:00:00Z,Multiple sources,AFP Factuel,https://factuel.afp.com/henry-kissinger-na-pas-prononce-ces-phrases-sur-la-vaccination-obligatoire-et-leugenisme,Faux,1,https://factuel.afp.com/henry-kissinger-na-pas-prononce-ces-phrases-sur-la-vaccination-obligatoire-et-leugenisme,2020-03-07 00:00:00
10420,10257,,,,,,,,,9,https://animal.mx/2020/05/papaya-positivo-coronavirus-covid-sacado-de-contexto/,2020-03-07 00:00:00
10421,10258,,,,,,,,,9,https://voxukraine.org/uk/fejk-alkogol-ta-spetsialna-maska-zi-spirtu-efektivna-profilaktika-covid-19/,2020-03-07 00:00:00
10422,10259,,,,,,,,,9,https://pesacheck.org/false-emirates-has-not-suspended-flights-to-johannesburg-due-to-coronavirus-1b9f5e9ea0d1,2020-03-06 00:00:00
10423,10260,,,,,,,,,9,https://bit.ly/3aS11Db,2020-03-06 00:00:00
10424,10261,,,,,,,,,9,https://www.newtral.es/la-propuesta-de-cerrar-fronteras-para-frenar-contagios-preguntas-y-respuestas/20200305/,2020-03-06 00:00:00
10425,10262,,,,,,,,,9,https://teyit.org/genetik-yapimizin-bizi-koronavirusten-koruyacagi-iddiasi/,2020-03-06 00:00:00
10426,10263,Yedikule Göğüs Hastalıkları Hastanesi'nde koronavirüs tespit ...,Yedikule Göğüs Hastalıkları Hastanesi'nde koronavirüs tespit edildiği iddiası,,2020-03-06T00:00:00Z,WhatsApp,Teyit.org,https://teyit.org/yedikule-gogus-hastaliklari-hastanesinde-covid-19-tespit-edildigi-iddiasi,Yanlış,1,https://teyit.org/yedikule-gogus-hastaliklari-hastanesinde-covid-19-tespit-edildigi-iddiasi/,2020-03-06 00:00:00
10427,10264,,,,,,,,,9,https://www.aap.com.au/these-photos-are-not-of-dogs-being-killed-because-of-coronavirus-fears/,2020-03-06 00:00:00
10428,10265,#Verificamos: É falso que higienizar as mãos com álcool gel ...,(...) o álcool gel utilizado na assepcia (sic) do coronavírus pode influenciar no teste do bafômetro (Lei Seca),2020-03-06T18:09:06Z,2020-03-06T18:09:06Z,Post no Facebook,UOL,https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-alcool-gel-teste-bafometro/,Falso,1,https://piaui.folha.uol.com.br/lupa/2020/03/06/verificamos-alcool-gel-teste-bafometro/,2020-03-06 00:00:00
