,id,title,text,claimDate,reviewDate,claimant,publisher,url,label,found,query,poynter
11534,11362,,,,,,,,,9,https://www.buzzfeed.com/jp/yutochiba/coronavirus-3-factcheck?origin=thum,
11535,11363,,,,,,,,,9,https://www.buzzfeed.com/jp/yutochiba/coronavirus-tokyo-olympics,
11536,11364,,,,,,,,,9,http://newsmobile.in/articles/2020/01/31/this-viral-video-of-a-meat-market-is-not-from-wuhan-heres-the-fact-check/,
11537,11365,,,,,,,,,9,https://www.buzzfeed.com/jp/kotahatachi/noganisarerugaharikoronauirusunisi,
11538,11366,,,,,,,,,9,https://pagellapolitica.it/blog/show/599/non-c%C3%A8-nessun-legame-tra-gli-sbarchi-di-migranti-e-il-coronavirus-cinese,
11539,11367,,,,,,,,,9,https://demagog.org.pl/analizy_i_raporty/nie-bill-gates-nie-sfinansowal-koronawirUnited States-z-wuhan/,
11540,11368,,"Coronavirus: Wuhan im Zentrum, 5G könnte Auslöser für Todesfälle sein",2020-01-25T23:00:00Z,2020-01-30T14:55:02Z,Connectiv Events,Correctiv,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/01/30/falsche-spekulationen-5g-ist-nicht-schuld-an-todesfaellen-durch-das-coronavirus/,Falsch. Die Todesfälle durch das neue Coronavirus hatten nichts mit 5G zu tun.,9,https://correctiv.org/faktencheck/medizin-und-gesundheit/2020/01/30/falsche-spekulationen-5g-ist-nicht-schuld-an-todesfaellen-durch-das-coronavirus,0.0
11541,11369,,,,,,,,,9,https://www.newtral.es/el-departamento-de-salud-de-canada-no-ha-aconsejado-mantener-la-garganta-humeda-para-evitar-el-contagio-del-coronavirus/20200131/,
11542,11370,,,,,,,,,9,https://www.newtral.es/china-no-ha-construido-un-hospital-en-48-horas-para-atender-a-pacientes-del-coronavirus-lleva-en-construccion-desde-2018/20200131/,
11543,11371,,,,,,,,,9,https://www.newtral.es/no-hay-pruebas-de-que-bill-gates-sea-el-propietario-de-la-patente-de-la-nueva-cepa-del-coronavirus/20200131/,
11544,11372,,,,,,,,,9,https://pesacheck.org/false-a-team-of-medical-doctor-trainees-from-jkuat-has-not-produced-a-vaccine-for-coronavirus-b821354a403,
11545,11373,"No, a Lysol label doesn't prove the coronavirus isn't new",The coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills.”,2020-01-31T00:00:00Z,,Viral image,PolitiFact,https://www.politifact.com/factchecks/2020/feb/05/viral-image/no-lysol-label-doesnt-prove-coronavirus-isnt-new/,False,9,https://www.politifact.com/factchecks/2020/feb/05/viral-image/no-lysol-label-doesnt-prove-coronavirus-isnt-new/,1.0
11546,11374,【錯誤】網傳「如果有環保酵素，流感和冠狀病毒來襲時，我們可以 ...,網傳「如果有環保酵素，流感和冠狀病毒來襲時，我們可以這樣做！」？,,2020-01-31T00:00:00Z,,台灣事實查核中心,https://tfc-taiwan.org.tw/articles/2231,錯誤,9,https://tfc-taiwan.org.tw/articles/2231,1.0
11547,11375,,,,,,,,,9,https://raskrinkavanje.ba/analiza/propolis-nije-lijek-za-koronavirus,
11548,11376,,,,,,,,,9,https://tfc-taiwan.org.tw/articles/2223,
11549,11377,【錯誤】網傳「這次冠狀病毒對於（ACE-2蛋白血管緊張素）高的人 ...,網傳「這次冠狀病毒對於（ACE-2蛋白血管緊張素）高的人最容易感染。ACE-2什麼人最高呢？也就是（高血壓患者）...酸脛菌可以干擾這隻冠狀病毒...」？,,2020-01-31T00:00:00Z,,台灣事實查核中心,https://tfc-taiwan.org.tw/articles/2229,錯誤,9,https://tfc-taiwan.org.tw/articles/2229,1.0
11550,11378,El coronavirus no ha llegado a Cúcuta,El coronavirus llega a Cúcuta,,2020-01-31T23:03:54Z,,ColombiaCheck,https://colombiacheck.com/chequeos/el-coronavirus-no-ha-llegado-cucuta,Falso,9,https://colombiacheck.com/chequeos/el-coronavirus-no-ha-llegado-cucuta,1.0
11551,11379,,,,,,,,,9,https://teyit.org/koronaviruse-yakalanan-bir-kisinin-14-kisiyi-daha-enfekte-ettigi-iddiasi/,
11552,11380,,,,,,,,,9,https://s.id/cBpjr,
11553,11381,,,,,,,,,9,https://s.id/cBoGT,
11554,11382,Coronavirus… Kills in seconds? – Dubawa,Facebook user said the Coronavirus is an unknown virus that kills under a few seconds.,2020-01-31T00:00:00Z,2020-02-05T00:00:00Z,,Dubawa,https://dubawa.org/kills-in-seconds-coronavirus/,"The coronavirus is not unknown nor does it kill ‘under a few seconds.’ The WHO says the virus is part of a family of viruses that includes Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV). Also, fatality and severity of the disease may be determined by age and other pre-existing health conditions.",9,https://dubawa.org/kills-in-seconds-coronavirus/,1.0
11555,11383,,,,,,,,,9,https://www.mm.dk/tjekdet/artikel/er-coronavirussen-opfundet-af-medicinalindustrien-corona-vaas-trives-paa-sociale-medier,
