,Topic,Word,P
0,0,coronaviru,0.018090395256876945
1,0,video,0.014352723956108093
2,0,covid19,0.006958113983273506
3,0,inform,0.0061368271708488464
4,0,colombia,0.005316931754350662
5,0,peopl,0.005102470517158508
6,0,messag,0.005089453421533108
7,0,call,0.004982761573046446
8,0,crisi,0.004675732925534248
9,0,whatsapp,0.004305306356400251
10,0,march,0.004290563054382801
11,0,need,0.004157632123678923
12,0,viru,0.0039899274706840515
13,0,health,0.00392298586666584
14,0,report,0.0038790118414908648
15,0,share,0.0037953732535243034
16,0,countri,0.003714931895956397
17,0,today,0.003702049143612385
18,0,pleas,0.003510457230731845
19,0,confirm,0.0034570780117064714
20,1,hell,0.08045734465122223
21,1,mr,0.006737666204571724
22,1,us,0.006728771608322859
23,1,vaccin,0.006406536791473627
24,1,news,0.006011125165969133
25,1,muslim,0.005685517564415932
26,1,releas,0.004957998171448708
27,1,inform,0.004924955312162638
28,1,creat,0.004721835721284151
29,1,request,0.004711035173386335
30,1,media,0.004517806228250265
31,1,burn,0.004481631796807051
32,1,separ,0.004461023025214672
33,1,oxygen,0.004436683841049671
34,1,gehlot,0.00441219937056303
35,1,cracker,0.004412198904901743
36,1,vandana,0.004412171896547079
37,1,minist,0.004402050282806158
38,1,social,0.004304077941924334
39,1,http,0.004192812833935022
