,topic,likes,retweets,followers,interaction_sum,polarity,subjectivity
105,3,40.0,15.0,2353.0,2408,0.0,0.0
106,1,15556.0,3280.0,140270.0,159106,0.0,0.0
107,3,12.0,11.0,14143.0,14166,0.0,0.0
108,3,103.0,92.0,9003.0,9198,0.0,0.0
109,3,1323.0,201.0,63894.0,65418,0.14814814814814814,0.7296296296296295
110,3,,,,65418,-0.25,0.25
111,3,,,,65418,0.0,0.0
112,0,622.0,351.0,24454.0,25427,-0.45000000000000007,0.8
113,3,1323.0,201.0,63894.0,65418,0.14814814814814814,0.7296296296296295
114,3,3914.0,1193.0,108469.0,113576,0.0,0.15555555555555556
115,3,4.0,1.0,969.0,974,-0.3166666666666667,0.3
116,3,0.0,0.0,4.0,4,-0.6999999999999998,0.6666666666666666
117,3,3.0,2.0,1168.0,1173,0.0,0.0
118,3,,,,1173,0.0,0.0
119,3,1923.0,1030.0,3155.0,6108,0.01785714285714285,0.7678571428571428
120,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
121,3,2820.0,373.0,134047.0,137240,0.0,0.0
122,1,,,,137240,0.0,0.0
123,0,405.0,494.0,1693970.0,1694869,-0.18333333333333338,0.3333333333333333
124,0,4545.0,1142.0,1102108.0,1107795,-0.5,1.0
125,0,93020.0,8714.0,26776954.0,26878688,-0.2,0.7
126,0,,,,26878688,0.0,0.25
127,0,93020.0,8714.0,26776954.0,26878688,-0.2,0.7
128,0,23609.0,11085.0,1226434.0,1261128,-0.4000000000000001,0.6
129,0,23578.0,11085.0,1226425.0,1261088,-0.4000000000000001,0.6
130,0,93020.0,8714.0,26776954.0,26878688,-0.2,0.7
131,0,93020.0,8714.0,26776954.0,26878688,-0.2,0.7
132,0,129894.0,26649.0,9537935.0,9694478,-0.55,0.95
133,3,439.0,89.0,5267974.0,5268502,0.0,0.0
134,3,438.0,89.0,5267974.0,5268501,0.0,0.0
135,0,129894.0,26649.0,9537935.0,9694478,-0.55,0.95
136,0,129894.0,26649.0,9537935.0,9694478,-0.55,0.95
137,0,93020.0,8714.0,26776954.0,26878688,-0.2,0.7
138,0,98.0,70.0,2267.0,2435,-0.25000000000000006,0.3
139,0,4520.0,1386.0,1239557.0,1245463,-0.20000000000000004,0.35
140,3,13152.0,3184.0,29416883.0,29433219,0.0,0.0
141,0,,,,29433219,-0.5,1.0
142,0,71.0,54.0,24258.0,24383,-0.07222222222222223,0.4388888888888889
143,3,21.0,6.0,18211.0,18238,0.2,0.2
144,1,16.0,14.0,12046.0,12076,0.0,0.0
145,1,0.0,0.0,2405.0,2405,0.0,0.0
146,3,101.0,105.0,1830247.0,1830453,0.1,0.45
147,3,438.0,89.0,5267992.0,5268519,0.0,0.0
148,3,996.0,134.0,116495.0,117625,0.0,0.0
149,3,627.0,1223.0,9041.0,10891,0.041666666666666664,0.06666666666666667
150,3,622.0,1223.0,9039.0,10884,0.041666666666666664,0.06666666666666667
151,0,93020.0,8714.0,26776625.0,26878359,-0.2,0.7
152,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
153,3,622.0,1223.0,9039.0,10884,0.041666666666666664,0.06666666666666667
154,0,71.0,54.0,24258.0,24383,-0.07222222222222223,0.4388888888888889
155,0,93020.0,8714.0,26776625.0,26878359,-0.2,0.7
156,3,387.0,255.0,77049.0,77691,-0.125,0.375
157,3,9578.0,3341.0,1692680.0,1705599,0.10714285714285714,0.2857142857142857
158,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
159,3,2598.0,393.0,134047.0,137038,-0.15,0.39999999999999997
160,0,170.0,54.0,27626.0,27850,-0.5,1.0
161,3,,,,27850,0.0,0.6
162,3,36.0,3.0,1996.0,2035,0.0,0.2888888888888889
163,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
164,3,331.0,64.0,210487.0,210882,0.2,0.30000000000000004
165,0,1.0,0.0,234304.0,234305,-0.35,1.0
166,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
167,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
168,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
169,0,93020.0,8714.0,26776625.0,26878359,-0.2,0.7
170,1,21341.0,8192.0,79370.0,108903,-0.07222222222222223,0.4666666666666666
171,0,452.0,279.0,74413.0,75144,-0.20000000000000004,0.3333333333333333
172,0,93020.0,8714.0,26776625.0,26878359,-0.2,0.7
173,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
174,0,,,,10258,-0.23333333333333334,0.5333333333333333
175,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
176,3,34.0,7.0,3685.0,3726,0.0,0.0
177,0,5218.0,1900.0,37486.0,44604,-0.5,1.0
178,3,7.0,2.0,3685.0,3694,0.0,0.0
179,0,561.0,195.0,18217.0,18973,-0.5,1.0
180,3,2820.0,373.0,134047.0,137240,0.0,0.0
181,3,2598.0,393.0,134047.0,137038,-0.15,0.39999999999999997
182,0,65.0,74.0,4427.0,4566,-0.4000000000000001,0.6
183,1,,,,4566,0.0,0.0
184,3,331.0,64.0,210487.0,210882,0.2,0.30000000000000004
185,3,622.0,1223.0,9039.0,10884,0.041666666666666664,0.06666666666666667
186,3,,,,10884,0.19047619047619047,0.38095238095238093
187,3,5.0,4.0,381.0,390,0.0,0.0
188,3,622.0,1223.0,9039.0,10884,0.041666666666666664,0.06666666666666667
189,0,1103.0,253.0,914616.0,915972,-0.4,0.7
190,3,331.0,64.0,210487.0,210882,0.2,0.30000000000000004
191,3,608.0,407.0,187261.0,188276,0.03333333333333333,0.06666666666666667
192,0,98.0,70.0,2267.0,2435,-0.25000000000000006,0.3
193,0,246.0,129.0,230147.0,230522,0.10476190476190476,0.8238095238095239
194,3,15.0,6.0,768.0,789,0.7,0.9
195,3,583.0,141.0,48426.0,49150,0.3666666666666667,0.6666666666666666
196,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
197,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
198,3,1804.0,588.0,550058.0,552450,0.0,0.0
199,0,1392.0,783.0,307537.0,309712,-0.3,0.7
200,3,11.0,10.0,11185.0,11206,0.0,0.0
201,0,99.0,35.0,27626.0,27760,0.031249999999999986,0.84375
202,3,160.0,112.0,1437015.0,1437287,-0.3,0.7
203,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
204,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
205,3,714.0,248.0,7243036.0,7243998,-0.3392857142857143,0.7357142857142858
206,0,,,,7243998,-0.5,1.0
207,3,8982.0,3466.0,2613210.0,2625658,0.1,0.3
208,3,422.0,50.0,28338.0,28810,0.0,0.0
209,3,,,,28810,0.0,0.0
210,3,25.0,20.0,17035.0,17080,0.0,0.75
211,3,112.0,114.0,1133.0,1359,0.1638888888888889,0.3972222222222223
212,3,25.0,13.0,709266.0,709304,0.07142857142857142,0.40952380952380957
213,3,283.0,83.0,480608.0,480974,0.5,0.5
214,1,1186.0,508.0,9138148.0,9139842,0.0,0.0
215,3,1654.0,728.0,3091256.0,3093638,-0.25,0.4
216,3,256.0,120.0,405703.0,406079,0.0,0.0
217,3,,,,406079,0.0,0.0
218,3,1002.0,240.0,3162792.0,3164034,0.1,0.4
219,3,618.0,121.0,5267997.0,5268736,0.5,0.5
220,3,11212.0,2546.0,3162792.0,3176550,0.0,0.0
221,3,105.0,51.0,7912728.0,7912884,0.0,0.0
222,3,4535.0,4297.0,61201.0,70033,0.3,0.5
223,1,854.0,248.0,4238722.0,4239824,0.0,0.0
224,1,,,,4239824,0.0,0.0
225,3,436.0,393.0,73159.0,73988,0.0,0.0
226,3,,,,73988,0.0,0.0
227,3,865.0,144.0,3006936.0,3007945,0.2,1.0
228,1,1177.0,525.0,8556.0,10258,0.22857142857142856,0.8119047619047618
229,3,76.0,48.0,168.0,292,-0.1,0.5
230,3,,,,292,0.13636363636363635,0.45454545454545453
231,1,1523.0,529.0,18371.0,20423,0.0,1.0
232,3,605.0,81.0,67646.0,68332,0.4,0.5
233,3,,,,68332,0.36363636363636365,0.5227272727272727
234,0,246.0,129.0,230149.0,230524,0.10476190476190476,0.8238095238095239
235,1,22224.0,4841.0,4573538.0,4600603,0.11818181818181818,0.37727272727272726
236,0,3.0,2.0,217.0,222,-0.4000000000000001,0.6
237,0,2583.0,1039.0,1437019.0,1440641,-0.2333333333333334,0.3333333333333333
238,3,19.0,10.0,195760.0,195789,0.0,0.0
239,3,,,,195789,0.0,0.4
240,3,39.0,42.0,3034604.0,3034685,0.2,0.9
241,3,3.0,1.0,6149.0,6153,0.0,0.0
242,0,485.0,367.0,636092.0,636944,0.26666666666666666,0.5666666666666667
243,3,,,,636944,0.0,0.0
244,0,59.0,67.0,54942.0,55068,-0.25,0.8333333333333333
245,0,66.0,15.0,429007.0,429088,-0.23333333333333334,0.5333333333333333
246,0,2583.0,1039.0,1437019.0,1440641,-0.2333333333333334,0.3333333333333333
247,3,1312.0,792.0,1498568.0,1500672,0.0,0.0
248,0,769.0,843.0,2032848.0,2034460,0.15,0.7333333333333334
249,0,22971.0,2807.0,958875.0,984653,-0.5,1.0
250,0,576.0,104.0,5954334.0,5955014,-0.6250000000000001,0.6
251,0,509.0,741.0,22392.0,23642,-0.4000000000000001,0.6
252,0,,,,23642,-0.125,1.0
253,0,250.0,80.0,5898.0,6228,0.0,0.0
254,3,1312.0,792.0,1498568.0,1500672,0.0,0.0
